uuid,title,body/value,field_framework,field_course,field_code,field_number
bi-BI_ac61a773,SYS: SYSTEMS,<p><strong>SYSTEMS</strong></p><p>Objects and systems have properties such as mass and charge. Systems may have internal structure.</p>,AP,Physics 1,SYS,1
bi-BI_cf98f75a,FLD: FIELDS,<p><strong>FIELDS</strong></p><p>Fields existing in space can be used to explain interactions.</p>,AP,Physics 1,FLD,2
bi-BI_30874afb,INT: FORCE INTERACTIONS,<p><strong>FORCE INTERACTIONS</strong></p><p>The interactions of an object with other objects can be described by forces.</p>,AP,Physics 1,INT,3
bi-BI_18db9637,CHA: CHANGE,<p><strong>CHANGE</strong></p><p>Interactions between systems can result in changes in those systems.</p>,AP,Physics 1,CHA,4
bi-BI_efe40e3b,CON: CONSERVATION,<p><strong>CONSERVATION</strong></p><p>Changes that occur as a result of interactions are constrained by conservation laws. Return to Table of Contents © 2021 College Board Course Framework V.1 | 17 AP Physics 1: Algebra-Based Course and Exam Description</p>,AP,Physics 1,CON,5
bi-BI_1699875e,BI3: Force Interactions INT § How can the motion of objects be predicted and/or explained?,<p><strong>Force Interactions INT § How can the motion of objects be predicted and/or explained?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_e4e65e47,BI4: Change CHA § How can we use models to help us understand motion?,<p><strong>Change CHA § How can we use models to help us understand motion?</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_e81deca8,BI4: Change,<p><strong>Change</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_9d842fe2,BI3: Force Interactions  INT§ § How can the motion of objects be predicted and/or explained?§ § Can equations be used to answer questions regardless of the questions’ specificity?§ § How can the idea of frames of reference allow two people to tell the truth yet have conflicting reports?,<p><strong>Force Interactions  INT§ § How can the motion of objects be predicted and/or explained?§ § Can equations be used to answer questions regardless of the questions’ specificity?§ § How can the idea of frames of reference allow two people to tell the truth yet have conflicting reports?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_0c9e479b,"BI4: Change  CHA§ § How can we use models to help us understand motion?§ § Why is the general rule for stopping your car “when you double your speed, you must give yourself four times as much distance to stop?”","<p><strong>Change  CHA§ § How can we use models to help us understand motion?§ § Why is the general rule for stopping your car “when you double your speed, you must give yourself four times as much distance to stop?”</strong></p><p></p>",AP,Physics 1,BI4,4
bi-BI_ff04b912,BI1: Systems  SYS§ § How can the properties of internal and gravitational mass be experimentally verified to be the same?§ § How do you decide what to believe about scientific claims?§ § How does something we cannot see determine how an object behaves?,<p><strong>Systems  SYS§ § How can the properties of internal and gravitational mass be experimentally verified to be the same?§ § How do you decide what to believe about scientific claims?§ § How does something we cannot see determine how an object behaves?</strong></p><p></p>,AP,Physics 1,BI1,1
bi-BI_8230be6d,BI2: Fields  FLD§ § How do objects with mass respond when placed in a gravitational field?§ § Why is the acceleration due to gravity constant on Earth’s surface?,<p><strong>Fields  FLD§ § How do objects with mass respond when placed in a gravitational field?§ § Why is the acceleration due to gravity constant on Earth’s surface?</strong></p><p></p>,AP,Physics 1,BI2,2
bi-BI_8255f80e,BI3: Force Interactions  INT§ § Are different kinds of forces really different?§ § How can Newton’s laws of motion be used to predict the behavior of objects?,<p><strong>Force Interactions  INT§ § Are different kinds of forces really different?§ § How can Newton’s laws of motion be used to predict the behavior of objects?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_c39f4cca,BI4: Change  CHA§ § Why does the same push change the motion of a shopping cart more than the motion of a car?,<p><strong>Change  CHA§ § Why does the same push change the motion of a shopping cart more than the motion of a car?</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_662ef46a,BI1: Systems  SYS§ § How does changing the mass of an object affect the gravitational force?§ § Why is a refrigerator hard to push in space?,<p><strong>Systems  SYS§ § How does changing the mass of an object affect the gravitational force?§ § Why is a refrigerator hard to push in space?</strong></p><p></p>,AP,Physics 1,BI1,1
bi-BI_49b88e70,BI2: Fields  FLD§ § Why do we feel pulled toward Earth but not toward a pencil?§ § How can the acceleration due to gravity be modified?,<p><strong>Fields  FLD§ § Why do we feel pulled toward Earth but not toward a pencil?§ § How can the acceleration due to gravity be modified?</strong></p><p></p>,AP,Physics 1,BI2,2
bi-BI_40f22d76,BI3: Force Interactions  INT§ § How can Newton’s laws of motion be used to predict the behavior of objects?§ § How can we use forces to predict the behavior of objects and keep us safe?,<p><strong>Force Interactions  INT§ § How can Newton’s laws of motion be used to predict the behavior of objects?§ § How can we use forces to predict the behavior of objects and keep us safe?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_f6f8ef6c,BI4: Change  CHA§ § How is the acceleration of the center of mass of a system related to the net force exerted on the system?§ § Why is it more difficult to stop a fully loaded dump truck than a small passenger car?,<p><strong>Change  CHA§ § How is the acceleration of the center of mass of a system related to the net force exerted on the system?§ § Why is it more difficult to stop a fully loaded dump truck than a small passenger car?</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_0b9d4726,BI3: Force Interactions  INT§ § How does pushing something give it energy?,<p><strong>Force Interactions  INT§ § How does pushing something give it energy?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_1ce0e787,BI4: Change  CHA§ § How is energy exchanged and transformed within or between systems?§ § How does the choice of system influence how energy is stored or how work is done?§ § How does energy conservation allow the riders in the back car of a rollercoaster to have a thrilling ride?,<p><strong>Change  CHA§ § How is energy exchanged and transformed within or between systems?§ § How does the choice of system influence how energy is stored or how work is done?§ § How does energy conservation allow the riders in the back car of a rollercoaster to have a thrilling ride?</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_8712b240,BI5: Conservation  CON§ § How can the idea of potential energy be used to describe the work done to move celestial bodies?§ § How is energy transferred between objects or systems?§ § How does the law of conservation of energy govern the interactions between objects and systems?,<p><strong>Conservation  CON§ § How can the idea of potential energy be used to describe the work done to move celestial bodies?§ § How is energy transferred between objects or systems?§ § How does the law of conservation of energy govern the interactions between objects and systems?</strong></p><p></p>,AP,Physics 1,BI5,5
bi-BI_f9c34536,BI3: Force Interactions  INT§ § How does pushing an object change its momentum?,<p><strong>Force Interactions  INT§ § How does pushing an object change its momentum?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_37b12a79,BI4: Change  CHA§ § How do interactions with other objects or systems change the linear momentum of a system?§ § How is the physics definition of momentum different from how momentum is used to describe things in everyday life?,<p><strong>Change  CHA§ § How do interactions with other objects or systems change the linear momentum of a system?§ § How is the physics definition of momentum different from how momentum is used to describe things in everyday life?</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_bc4b1339,BI5: Conservation  CON§ § How does the law of the conservation of momentum govern interactions between objects or systems?§ § How can momentum be used to determine fault in car crashes?,<p><strong>Conservation  CON§ § How does the law of the conservation of momentum govern interactions between objects or systems?§ § How can momentum be used to determine fault in car crashes?</strong></p><p></p>,AP,Physics 1,BI5,5
bi-BI_e2ccad70,BI3: Force Interactions  INT§ § How does a restoring force differ from a “regular” force?§ § How does the presence of restoring forces predict and lead to harmonic motion?§ § How does a spring cause an object to oscillate?§ § How can oscillations be used to make our lives easier?,<p><strong>Force Interactions  INT§ § How does a restoring force differ from a “regular” force?§ § How does the presence of restoring forces predict and lead to harmonic motion?§ § How does a spring cause an object to oscillate?§ § How can oscillations be used to make our lives easier?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_42cdca21,BI5: Conservation  CON§ § How does the law of conservation of energy govern the interactions between objects and systems?§ § How can energy stored in a spring be used to create motion?,<p><strong>Conservation  CON§ § How does the law of conservation of energy govern the interactions between objects and systems?§ § How can energy stored in a spring be used to create motion?</strong></p><p></p>,AP,Physics 1,BI5,5
bi-BI_7c7c8f10,BI3: Force Interactions  INT§ § How does a system at rotational equilibrium compare to a system in translational equilibrium?§ § How does the choice of system and rotation point affect the forces that can cause a torque on an object or a system?§ § How can balanced forces cause rotation?§ § Why does it matter where the door handle is placed?§ § Why are long wrenches more effective?,<p><strong>Force Interactions  INT§ § How does a system at rotational equilibrium compare to a system in translational equilibrium?§ § How does the choice of system and rotation point affect the forces that can cause a torque on an object or a system?§ § How can balanced forces cause rotation?§ § Why does it matter where the door handle is placed?§ § Why are long wrenches more effective?</strong></p><p></p>,AP,Physics 1,BI3,3
bi-BI_b6638ef1,BI4: Change  CHA§ § How can an external net torque change the angular momentum of a system?§ § Why is a rotating bicycle wheel more stable than a stationary one?,<p><strong>Change  CHA§ § How can an external net torque change the angular momentum of a system?§ § Why is a rotating bicycle wheel more stable than a stationary one?</strong></p><p></p>,AP,Physics 1,BI4,4
bi-BI_b0f576f6,BI5: Conservation  CON§ § How does the conservation of angular momentum govern interactions between objects and systems?§ § Why do planets move faster when they travel closer to the sun?,<p><strong>Conservation  CON§ § How does the conservation of angular momentum govern interactions between objects and systems?§ § Why do planets move faster when they travel closer to the sun?</strong></p><p></p>,AP,Physics 1,BI5,5
bi-BI_942f2802,PSO: PATTERNS AND SPATIAL ORGANIZATION,"<p><strong>PATTERNS AND SPATIAL ORGANIZATION</strong></p><p>Spatial patterns and organization of human society are arranged according to political, historical, cultural, and economic factors.</p>",AP,Human Geography,PSO,1
bi-BI_73d779d1,IMP: IMPACTS AND INTERACTIONS,"<p><strong>IMPACTS AND INTERACTIONS</strong></p><p>Complex relationships of cause and effect exist among people, their environments, and historical and contemporary actions.</p>",AP,Human Geography,IMP,2
bi-BI_8e8598f9,SPS: SPATIAL PROCESS AND SOCIETAL CHANGE,"<p><strong>SPATIAL PROCESS AND SOCIETAL CHANGE</strong></p><p>A spatial perspective allows for a focus on the ways phenomena are related to one another in particular places, which in turn allows for the examination of human organization and its environmental consequences. Course Framework V.1 | 15</p>",AP,Human Geography,SPS,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_e718782c,BI2: Impacts and Interactions IMP § How do geographers use maps to help them discover patterns and relationships in the world?,<p><strong>Impacts and Interactions IMP § How do geographers use maps to help them discover patterns and relationships in the world?</strong></p><p></p>,AP,Human Geography,BI2,2
bi-BI_ef8865fc,BI3: Spatial Processes and Societal Change SPS § How do geographers use a spatial perspective to analyze complex issues and relationships?,<p><strong>Spatial Processes and Societal Change SPS § How do geographers use a spatial perspective to analyze complex issues and relationships?</strong></p><p></p>,AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_7bb9e06e,BI2: Impacts and Interactions  IMP §§ How do geographers use maps to help them discover patterns and relationships in the world?,<p><strong>Impacts and Interactions  IMP §§ How do geographers use maps to help them discover patterns and relationships in the world?</strong></p><p></p>,AP,Human Geography,BI2,2
bi-BI_dc71f8d2,BI3: Spatial Processes and Societal Change  SPS §§ How do geographers use a spatial perspective to analyze complex issues and relationships?,<p><strong>Spatial Processes and Societal Change  SPS §§ How do geographers use a spatial perspective to analyze complex issues and relationships?</strong></p><p></p>,AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_844fe033,"BI2: Impacts and Interactions  IMP §§ How does the interplay of environmental, economic, cultural, and political factors influence changes in population?","<p><strong>Impacts and Interactions  IMP §§ How does the interplay of environmental, economic, cultural, and political factors influence changes in population?</strong></p><p></p>",AP,Human Geography,BI2,2
bi-BI_4ef1d8b1,"BI3: Spatial Patterns and Societal Change  SPS §§ How do changes in population affect a place’s economy, culture, and politics?","<p><strong>Spatial Patterns and Societal Change  SPS §§ How do changes in population affect a place’s economy, culture, and politics?</strong></p><p></p>",AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_87fe414d,BI2: Impacts and Interactions  IMP §§ How does the interaction of people contribute to the spread of cultural practices?,<p><strong>Impacts and Interactions  IMP §§ How does the interaction of people contribute to the spread of cultural practices?</strong></p><p></p>,AP,Human Geography,BI2,2
bi-BI_2a4e5ec9,"BI3: Spatial Patterns and Societal Change  SPS §§ How and why do cultural ideas, practices, and innovations change or disappear over time?","<p><strong>Spatial Patterns and Societal Change  SPS §§ How and why do cultural ideas, practices, and innovations change or disappear over time?</strong></p><p></p>",AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
