uuid,title,body/value,field_framework,field_subject,field_anchor_standard_ref
eq-EQ_20f557ba,Where do choreographers get ideas for dances?,<p>Where do choreographers get ideas for dances?</p>,NCAS,Dance,1
eq-EQ_8df6c8e1,What influences choice-making in creating choreography?,<p>What influences choice-making in creating choreography?</p>,NCAS,Dance,2
eq-EQ_72eafd66,"How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?","<p>How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?</p>",NCAS,Dance,2
eq-EQ_f2c96da2,"How do dancers work with space, time and energy to communicate artistic expression?","<p>How do dancers work with space, time and energy to communicate artistic expression?</p>",NCAS,Dance,4
eq-EQ_c81db2f1,What must a dancer do to prepare the mind and body for artistic expression?,<p>What must a dancer do to prepare the mind and body for artistic expression?</p>,NCAS,Dance,5
eq-EQ_e79261ab,How does a dancer heighten artistry in a public performance?,<p>How does a dancer heighten artistry in a public performance?</p>,NCAS,Dance,6
eq-EQ_b03ff933,How is a dance understood?,<p>How is a dance understood?</p>,NCAS,Dance,7
eq-EQ_61ee2960,How is dance interpreted?,<p>How is dance interpreted?</p>,NCAS,Dance,8
eq-EQ_737381c1,What criteria are used to evaluate dance?,<p>What criteria are used to evaluate dance?</p>,NCAS,Dance,9
eq-EQ_52fb3afd,"How does dance deepen our understanding of ourselves, other knowledge, and events around us?","<p>How does dance deepen our understanding of ourselves, other knowledge, and events around us?</p>",NCAS,Dance,10
eq-EQ_9d4bbca2,"How does knowing about societal, cultural, historical and community experiences expand dance literacy?","<p>How does knowing about societal, cultural, historical and community experiences expand dance literacy?</p>",NCAS,Dance,11
eq-EQ_d81c06a1,|  |  |  |  |  |  |  |  |  |  |  |  | CREATING?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | CREATING?</p>,NCAS,Dance,11
eq-EQ_c1cd84f2,|  |  |  |  |  |  |  |  |  |  |  |  | Performing?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Performing?</p>,NCAS,Dance,11
eq-EQ_49c9d21e,|  |  |  |  |  |  |  |  |  |  |  |  | Responding?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Responding?</p>,NCAS,Dance,11
eq-EQ_883660e4,|  |  |  |  |  |  |  |  |  |  |  |  | Connecting?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Connecting?</p>,NCAS,Dance,11
eq-EQ_ee165909,How do musicians generate creative ideas?,<p>How do musicians generate creative ideas?</p>,NCAS,Music rev 12-1-16,1
eq-EQ_255e8fae,How do musicians improve the quality of their creative work?,<p>How do musicians improve the quality of their creative work?</p>,NCAS,Music rev 12-1-16,1
eq-EQ_61fe562b,How do musicians make creative decisions?,<p>How do musicians make creative decisions?</p>,NCAS,Music rev 12-1-16,2
eq-EQ_e1f5ed09,When is creative work ready to share?,<p>When is creative work ready to share?</p>,NCAS,Music rev 12-1-16,3
eq-EQ_df4d0647,How does understanding the structure and context of musical works inform performance?,<p>How does understanding the structure and context of musical works inform performance?</p>,NCAS,Music rev 12-1-16,3
eq-EQ_bc8ca276,How do performers select repertoire?,<p>How do performers select repertoire?</p>,NCAS,Music rev 12-1-16,4
eq-EQ_57831979,How do musicians improve the quality of their performance?,<p>How do musicians improve the quality of their performance?</p>,NCAS,Music rev 12-1-16,5
eq-EQ_9bbdfaca,How do performers interpret musical works?,<p>How do performers interpret musical works?</p>,NCAS,Music rev 12-1-16,5
eq-EQ_a7f33027,When is a performance judged ready to present?,<p>When is a performance judged ready to present?</p>,NCAS,Music rev 12-1-16,6
eq-EQ_97e907d2,How do context and the manner in which musical work is presented influence audience response?,<p>How do context and the manner in which musical work is presented influence audience response?</p>,NCAS,Music rev 12-1-16,6
eq-EQ_72053df1,How do individuals choose music to experience?,<p>How do individuals choose music to experience?</p>,NCAS,Music rev 12-1-16,7
eq-EQ_fd9679f4,How do we judge the quality of musical work(s) and performance(s)?,<p>How do we judge the quality of musical work(s) and performance(s)?</p>,NCAS,Music rev 12-1-16,9
eq-EQ_b1f4a4b6,How do we discern the musical creators’ and performers’ expressive intent?,<p>How do we discern the musical creators’ and performers’ expressive intent?</p>,NCAS,Music rev 12-1-16,8
eq-EQ_a0a7b632,"How do musicians make meaningful connections to creating, performing, and responding?","<p>How do musicians make meaningful connections to creating, performing, and responding?</p>",NCAS,Music rev 12-1-16,10
eq-EQ_6d755893,"How do the other arts, other disciplines, contexts, and daily life inform creating, performing, and responding to music?","<p>How do the other arts, other disciplines, contexts, and daily life inform creating, performing, and responding to music?</p>",NCAS,Music rev 12-1-16,10
eq-EQ_79b214ca,|  |  |  |  |  |  |  |  |  |  | CREATING?,<p>|  |  |  |  |  |  |  |  |  |  | CREATING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_7feb39f1,|  |  |  |  |  |  |  |  |  |  |?,<p>|  |  |  |  |  |  |  |  |  |  |?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_f2ad6362,|  |  |  |  |  |  |  |  |  |  | PERFORMING?,<p>|  |  |  |  |  |  |  |  |  |  | PERFORMING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_0ebda360,|  |  |  |  |  |  |  |  |  |  | RESPONDING?,<p>|  |  |  |  |  |  |  |  |  |  | RESPONDING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_fb57a752,|  |  |  |  |  |  |  |  |  |  | CONNECTING?,<p>|  |  |  |  |  |  |  |  |  |  | CONNECTING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_26747e54,How does understanding the structure and context of music inform a response?,<p>How does understanding the structure and context of music inform a response?</p>,NCAS,Music Harmonizing Instruments,7
eq-EQ_b88e3f2f,|  |  |  |  |?,<p>|  |  |  |  |?</p>,NCAS,Music Harmonizing Instruments,11
eq-EQ_544e81d2,What happens when theatre artists use their imaginations and/or learned theatre skills while engaging in creative exploration and inquiry?,<p>What happens when theatre artists use their imaginations and/or learned theatre skills while engaging in creative exploration and inquiry?</p>,NCAS,Theatre,1
eq-EQ_d445ecf8,"How, when, and why do theatre artists’ choices change?","<p>How, when, and why do theatre artists’ choices change?</p>",NCAS,Theatre,2
eq-EQ_2a4f0d99,How do theatre artists transform and edit their initial ideas?,<p>How do theatre artists transform and edit their initial ideas?</p>,NCAS,Theatre,2
eq-EQ_865352cd,Why are strong choices essential to interpreting a drama or theatre piece?,<p>Why are strong choices essential to interpreting a drama or theatre piece?</p>,NCAS,Theatre,4
eq-EQ_cec8bed6,What can I do to fully prepare a performance or technical design?,<p>What can I do to fully prepare a performance or technical design?</p>,NCAS,Theatre,5
eq-EQ_908d74c0,What happens when theatre artists and audiences share a creative experience?,<p>What happens when theatre artists and audiences share a creative experience?</p>,NCAS,Theatre,5
eq-EQ_282ba832,How do theatre artists comprehend the essence of drama processes and theatre experiences?,<p>How do theatre artists comprehend the essence of drama processes and theatre experiences?</p>,NCAS,Theatre,7
eq-EQ_8817c428,How can the same work of art communicate different messages to different people?,<p>How can the same work of art communicate different messages to different people?</p>,NCAS,Theatre,8
eq-EQ_5d00c207,How are the theatre artist’s processes and the audience’s perspectives impacted by analysis and synthesis?,<p>How are the theatre artist’s processes and the audience’s perspectives impacted by analysis and synthesis?</p>,NCAS,Theatre,9
eq-EQ_8de77299,What happens when theatre artists allow an understanding of themselves and the world to inform perceptions about theatre and the purpose of their work?,<p>What happens when theatre artists allow an understanding of themselves and the world to inform perceptions about theatre and the purpose of their work?</p>,NCAS,Theatre,11
eq-EQ_d1cc3a98,"What happens when theatre artists foster understanding between self and others through critical awareness, social responsibility, and the exploration of empathy?","<p>What happens when theatre artists foster understanding between self and others through critical awareness, social responsibility, and the exploration of empathy?</p>",NCAS,Theatre,10
eq-EQ_9fddd139,"In what ways can research into theatre histories, theories, literature, and performances alter the way a drama process or production is understood?","<p>In what ways can research into theatre histories, theories, literature, and performances alter the way a drama process or production is understood?</p>",NCAS,Theatre,11
eq-EQ_4b3a5c41,How do media artists generate ideas?,<p>How do media artists generate ideas?</p>,NCAS,Media Arts - new copyright info,1
eq-EQ_6de05ba6,How can ideas for media arts productions be formed and developed to be effective and original?,<p>How can ideas for media arts productions be formed and developed to be effective and original?</p>,NCAS,Media Arts - new copyright info,1
eq-EQ_77e0fbf3,How do media artists organize and develop ideas and models into process structures to achieve the desired end product?,<p>How do media artists organize and develop ideas and models into process structures to achieve the desired end product?</p>,NCAS,Media Arts - new copyright info,2
eq-EQ_4b39923d,"What is required to produce a media artwork that conveys purpose, meaning, and artistic quality?","<p>What is required to produce a media artwork that conveys purpose, meaning, and artistic quality?</p>",NCAS,Media Arts - new copyright info,3
eq-EQ_3a305f4c,How do media artists improve/refine their work?,<p>How do media artists improve/refine their work?</p>,NCAS,Media Arts - new copyright info,3
eq-EQ_77cdaa5d,How are complex media arts experiences constructed?,<p>How are complex media arts experiences constructed?</p>,NCAS,Media Arts - new copyright info,4
eq-EQ_5ca60055,What skills are required for creating effective media artworks and how are they improved?,<p>What skills are required for creating effective media artworks and how are they improved?</p>,NCAS,Media Arts - new copyright info,5
eq-EQ_327b1b00,How are creativity and innovation developed within and through media arts productions?,<p>How are creativity and innovation developed within and through media arts productions?</p>,NCAS,Media Arts - new copyright info,5
eq-EQ_86f08761,How do media artists use various tools and techniques?,<p>How do media artists use various tools and techniques?</p>,NCAS,Media Arts - new copyright info,5
eq-EQ_d7765f0b,"How does time, place, audience, and context affect presenting or performing choices for media artworks?","<p>How does time, place, audience, and context affect presenting or performing choices for media artworks?</p>",NCAS,Media Arts - new copyright info,6
eq-EQ_e6f46c81,How can presenting or sharing media artworks in a public format help a media artist learn and grow?,<p>How can presenting or sharing media artworks in a public format help a media artist learn and grow?</p>,NCAS,Media Arts - new copyright info,6
eq-EQ_4bbc562d,How do we 'read' media artworks and discern their relational components?,<p>How do we 'read' media artworks and discern their relational components?</p>,NCAS,Media Arts - new copyright info,7
eq-EQ_ea77878b,How do media artworks function to convey meaning and manage audience experience?,<p>How do media artworks function to convey meaning and manage audience experience?</p>,NCAS,Media Arts - new copyright info,7
eq-EQ_ffab6c68,How do people relate to and interpret media artworks?,<p>How do people relate to and interpret media artworks?</p>,NCAS,Media Arts - new copyright info,8
eq-EQ_ef713195,How and why do media artists value and judge media artworks?,<p>How and why do media artists value and judge media artworks?</p>,NCAS,Media Arts - new copyright info,9
eq-EQ_1ce86b7b,When and how should we evaluate and critique media artworks to improve them?,<p>When and how should we evaluate and critique media artworks to improve them?</p>,NCAS,Media Arts - new copyright info,9
eq-EQ_fdca2432,How do we relate knowledge and experiences to understanding and making media artworks?,<p>How do we relate knowledge and experiences to understanding and making media artworks?</p>,NCAS,Media Arts - new copyright info,10
