code,text,framework,subject,anchor_standard,eu_references,eq_references
DA:Cr1.1.III,"a. Respond in movement to a variety of sensory stimuli (for example, music/sound, visual, tactile).",NCAS,Dance,1,,
DA:Cr2.1.III,a. Improvise dance that starts and stops on cue.,NCAS,Dance,1,EU_e1d42ba4,EQ_20f557ba
DA:Cr3.1.III,a. Respond to suggestions for changing movement through guided improvisational experiences.,NCAS,Dance,2,EU_2646b8b6,EQ_8df6c8e1
DA:Pr4.1.III,"a. Identify and demonstrate directions for moving the body in general space (for example, forward, backwards, sideways, up, down, and turning) and finding and returning to a place in space.",NCAS,Dance,3,EU_a4ebc983,EQ_72eafd66
DA:Pr5.1.III,"a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships.",NCAS,Dance,4,EU_8fe05cc2,EQ_f2c96da2
DA:Pr6.1.III,a. Dance for others in a designated area or space.,NCAS,Dance,5,EU_16923821,EQ_c81db2f1
DA:Re.7.1.III,a. Identify a movement in a dance by repeating it.,NCAS,Dance,6,EU_3ef429f0,EQ_e79261ab
DA:Re8.1.III,Interpret a. Observe a movement and share impressions.,NCAS,Dance,7,EU_c75697b6,EQ_b03ff933
DA:Re9.1.III,Critique a. Find a movement in a dance that was fun to watch.,NCAS,Dance,7,EU_c75697b6,EQ_b03ff933
DA:Cn10.1.III,"a. Recognize an emotion expressed in dance movement that is watched or performed a. Recognize and name an emotion that is experienced when watching, improvising, or performing dance and relate it to a personal experience.",NCAS,Dance,9,EU_f4007ee0,EQ_737381c1
DA:Cn11.1.III,Relate a. Show a dance movement experienced at home or elsewhere.,NCAS,Dance,10,EU_5a889d2f,EQ_52fb3afd
