uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,status
mathcc-3-nbt-1,CCSS.Math.Content.3.NBT.1,basic_html,<p>Use place value understanding to round whole numbers to the nearest 10 or 100.</p>,14783,51002,16470,Grade 3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3.NBT.1,TRUE
mathcc-3-nbt-2,CCSS.Math.Content.3.NBT.2,basic_html,"<p>Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.</p>",14783,51002,16470,Grade 3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3.NBT.2,TRUE
mathcc-3-nbt-3,CCSS.Math.Content.3.NBT.3,basic_html,"<p>Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations. These Standards do not dictate curriculum or teaching methods. For example, just because topic A appears before topic B in the standards for a given grade, it does not necessarily mean that topic A must be taught before topic B. A teacher might prefer to teach topic B before topic A, or might choose to highlight connections by teaching topic A and topic B at the same time. Or, a teacher might prefer to teach a topic of his or her own choosing that leads, as a byproduct, to students reaching the standards for topics A and B. What students can learn at any particular grade level depends upon what they have learned before. Ideally then, each standard in this document might have been phrased in the form, “Students who already know ... should next come to learn ....” But at present this approach is unrealistic—not least because existing education research cannot specify all such learning pathways. Of necessity therefore, grade placements for specific topics have been made on the basis of state and international comparisons and the collective experience and collective professional judgment of educators, researchers and mathematicians. One promise of common state standards is that over time they will allow research on learning progressions to inform and improve the design of standards to a much greater extent than is possible today. Learning opportunities will continue to vary across schools and school systems, and educators should make every effort to meet the needs of individual students based on their current understanding. These Standards are not intended to be new names for old ways of doing business. They are a call to take the next step. It is time for states to work together to build on lessons learned from two decades of standards based reforms. It is time to recognize that standards are not just promises to our children, but promises we intend to keep. Domain Cluster Standard</p>",14783,51002,16470,Grade 3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3.NBT.3,TRUE
mathcc-k-nbt-2,CCSS.Math.Content.K.NBT.2,basic_html,<p>Reason abstractly and quantitatively.</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.2,TRUE
mathcc-k-nbt-3,CCSS.Math.Content.K.NBT.3,basic_html,<p>Construct viable arguments and critique the reasoning of others.</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.3,TRUE
mathcc-k-nbt-4,CCSS.Math.Content.K.NBT.4,basic_html,<p>Model with mathematics.</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.4,TRUE
mathcc-k-nbt-5,CCSS.Math.Content.K.NBT.5,basic_html,<p>Use appropriate tools strategically.</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.5,TRUE
mathcc-k-nbt-6,CCSS.Math.Content.K.NBT.6,basic_html,<p>Attend to precision.</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.6,TRUE
mathcc-k-nbt-7,CCSS.Math.Content.K.NBT.7,basic_html,<p>Look for and make use of structure.</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.7,TRUE
mathcc-k-nbt-8,CCSS.Math.Content.K.NBT.8,basic_html,<p>Look for and express regularity in repeated reasoning. Grade K Overview</p>,14783,51005,16470,Kindergarten,Number and Operations in Base Ten,Make sense of problems and persevere in solving them.,K.NBT.8,TRUE
mathcc-k-cc-1,CCSS.Math.Content.K.CC.1,basic_html,<p>Count to 100 by ones and by tens.</p>,14783,51007,16470,Kindergarten,Counting and Cardinality,Know number names and the count sequence.,K.CC.1,TRUE
mathcc-k-cc-2,CCSS.Math.Content.K.CC.2,basic_html,<p>Count forward beginning from a given number within the known sequence (instead of having to begin at 1).</p>,14783,51007,16470,Kindergarten,Counting and Cardinality,Know number names and the count sequence.,K.CC.2,TRUE
mathcc-k-cc-3,CCSS.Math.Content.K.CC.3,basic_html,<p>Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects). Count to tell the number of objects.</p>,14783,51007,16470,Kindergarten,Counting and Cardinality,Know number names and the count sequence.,K.CC.3,TRUE
mathcc-k-cc-4,CCSS.Math.Content.K.CC.4,basic_html,<p>Understand the relationship between numbers and quantities; connect counting to cardinality.</p>,14783,51007,16470,Kindergarten,Counting and Cardinality,Know number names and the count sequence.,K.CC.4,TRUE
mathcc-k-cc-5,CCSS.Math.Content.K.CC.5,basic_html,"<p>Count to answer “how many?” questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1–20, count out that many objects. Compare numbers.</p>",14783,51008,16470,Kindergarten,Counting and Cardinality,c. Understand that each successive number name refers to a quantity that is one larger.,K.CC.5,TRUE
mathcc-k-cc-6,CCSS.Math.Content.K.CC.6,basic_html,"<p>Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.1</p>",14783,51008,16470,Kindergarten,Counting and Cardinality,c. Understand that each successive number name refers to a quantity that is one larger.,K.CC.6,TRUE
mathcc-k-cc-7,CCSS.Math.Content.K.CC.7,basic_html,<p>Compare two numbers between 1 and 10 presented as written numerals.</p>,14783,51008,16470,Kindergarten,Counting and Cardinality,c. Understand that each successive number name refers to a quantity that is one larger.,K.CC.7,TRUE
mathcc-k-oa-1,CCSS.Math.Content.K.OA.1,basic_html,"<p>Represent addition and subtraction with objects, fingers, mental images, drawings2, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.</p>",14783,51010,16470,Kindergarten,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and under stand subtraction as taking apart a",K.OA.1,TRUE
mathcc-k-oa-2,CCSS.Math.Content.K.OA.2,basic_html,"<p>Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.</p>",14783,51010,16470,Kindergarten,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and under stand subtraction as taking apart a",K.OA.2,TRUE
mathcc-k-oa-3,CCSS.Math.Content.K.OA.3,basic_html,"<p>Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).</p>",14783,51010,16470,Kindergarten,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and under stand subtraction as taking apart a",K.OA.3,TRUE
mathcc-k-oa-4,CCSS.Math.Content.K.OA.4,basic_html,"<p>For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.</p>",14783,51010,16470,Kindergarten,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and under stand subtraction as taking apart a",K.OA.4,TRUE
