ID,name,description,parent_tid,field_associated_framework
52000,Dimension 1: Developing Questions & Planning Inquiries,,,14785
52001,Constructing Compelling Questions,,52000,14785
52002,Grades K-2,,52001,14785
52003,Grades 3-5,,52001,14785
52004,Grades 6-8,,52001,14785
52005,Grades 9-12,,52001,14785
52006,Constructing Supporting Questions,,52000,14785
52007,Grades K-2,,52006,14785
52008,Grades 3-5,,52006,14785
52009,Grades 6-8,,52006,14785
52010,Grades 9-12,,52006,14785
52011,Determining Helpful Sources,,52000,14785
52012,Grades K-2,,52011,14785
52013,Grades 3-5,,52011,14785
52014,Grades 6-8,,52011,14785
52015,Grades 9-12,,52011,14785
52016,Civics,,52000,14785
52017,Grades K-2,,52016,14785
52018,Grades 3-5,,52016,14785
52019,Grades 6-8,,52016,14785
52020,Grades 9-12,,52016,14785
52021,Economics,,52000,14785
52022,Grades K-2,,52021,14785
52023,Grades 3-5,,52021,14785
52024,Grades 6-8,,52021,14785
52025,Grades 9-12,,52021,14785
52026,Geography,,52000,14785
52027,Grades K-2,,52026,14785
52028,Grades 3-5,,52026,14785
52029,Grades 6-8,,52026,14785
52030,Grades 9-12,,52026,14785
52031,History,,52000,14785
52032,Grades K-2,,52031,14785
52033,Grades 3-5,,52031,14785
52034,Grades 6-8,,52031,14785
52035,Grades 9-12,,52031,14785
52036,Gathering and Evaluating Sources,,52000,14785
52037,Grades K-2,,52036,14785
52038,Grades 3-5,,52036,14785
52039,Grades 6-8,,52036,14785
52040,Grades 9-12,,52036,14785
52041,Developing Claims and Using Evidence,,52000,14785
52042,Grades 3-5,,52041,14785
52043,Grades 6-8,,52041,14785
52044,Grades 9-12,,52041,14785
52045,Communicating and Critiquing Conclusions,,52000,14785
52046,Grades K-2,,52045,14785
52047,Grades 3-5,,52045,14785
52048,Grades 6-8,,52045,14785
52049,Grades 9-12,,52045,14785
52050,Taking Informed Action,,52000,14785
52051,Grades K-2,,52050,14785
52052,Grades 3-5,,52050,14785
52053,Grades 6-8,,52050,14785
52054,Grades 9-12,,52050,14785
52055,Psy Concepts,,52000,14785
52056,Grades 9-12,,52055,14785
52057,Soc Concepts,,52000,14785
52058,Grades 9-12,,52057,14785
