uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,status
c3-d1-1-k-2,D1.1.K-2,basic_html,<p>Explain why the compelling question is important to the student.</p>,14785,52002,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades K-2,D1.1.K-2,TRUE
c3-d1-2-k-2,D1.2.K-2,basic_html,<p>Identify disciplinary ideas associated with a compelling question.</p>,14785,52002,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades K-2,D1.2.K-2,TRUE
c3-d1-1-3-5,D1.1.3-5,basic_html,"<p>Explain why compelling questions are important to others (e.g., peers, adults).</p>",14785,52003,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades 3-5,D1.1.3-5,TRUE
c3-d1-2-3-5,D1.2.3-5,basic_html,<p>Identify disciplinary concepts and ideas associated with a compelling question that are open to different interpretations.</p>,14785,52003,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades 3-5,D1.2.3-5,TRUE
c3-d1-1-6-8,D1.1.6-8,basic_html,<p>Explain how a question represents key ideas in the field.</p>,14785,52004,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades 6-8,D1.1.6-8,TRUE
c3-d1-2-6-8,D1.2.6-8,basic_html,<p>Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.</p>,14785,52004,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades 6-8,D1.2.6-8,TRUE
c3-d1-1-9-12,D1.1.9-12,basic_html,<p>Explain how a question reflects an enduring issue in the field.</p>,14785,52005,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades 9-12,D1.1.9-12,TRUE
c3-d1-2-9-12,D1.2.9-12,basic_html,"<p>Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question. * Students, particularly before middle school, will need considerable guidance and support from adults to construct questions that are suitable for inquiry. followed in the past?” Supporting questions, then, help guide the development of an inquiry into a compelling question. The development of compelling and supporting questions is a sophisticated intellectual activity. Students, particularly before middle school, will need considerable guidance and support from adults to construct questions that are suitable for inquiry. Beginning in grade 6, students should be able to take increasing responsibility for their learning so that by grade 12 they are able to construct questions and plan inquiries more independently. Questions are just the starting point for an inquiry. To develop an inquiry, students will also determine the data sources needed to help answer compelling and supporting questions. The five indicators in Dimension 1 describe the questioning and planning skills needed to initiate inquiry. CENTRAL to a rich social studies experience is the capability for developing questions that CAN FRAME AND ADVANCE AN INQUIRY. Those questions come in two forms: compelling and supporting questions.</p>",14785,52005,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Compelling Questions,Grades 9-12,D1.2.9-12,TRUE
c3-d1-3-k-2,D1.3.K-2,basic_html,<p>Identify facts and concepts associated with a supporting question.</p>,14785,52007,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades K-2,D1.3.K-2,TRUE
c3-d1-4-k-2,D1.4.K-2,basic_html,<p>Make connections between supporting questions and compelling questions.</p>,14785,52007,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades K-2,D1.4.K-2,TRUE
c3-d1-3-3-5,D1.3.3-5,basic_html,<p>Identify the disciplinary concepts and ideas associated with a supporting question that are open to interpretation.</p>,14785,52008,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades 3-5,D1.3.3-5,TRUE
c3-d1-4-3-5,D1.4.3-5,basic_html,<p>Explain how supporting questions help answer compelling questions in an inquiry.</p>,14785,52008,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades 3-5,D1.4.3-5,TRUE
c3-d1-3-6-8,D1.3.6-8,basic_html,<p>Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.</p>,14785,52009,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades 6-8,D1.3.6-8,TRUE
c3-d1-4-6-8,D1.4.6-8,basic_html,<p>Explain how the relationship between supporting questions and compelling questions is mutually reinforcing.</p>,14785,52009,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades 6-8,D1.4.6-8,TRUE
c3-d1-3-9-12,D1.3.9-12,basic_html,<p>Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.</p>,14785,52010,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades 9-12,D1.3.9-12,TRUE
c3-d1-4-9-12,D1.4.9-12,basic_html,"<p>Explain how supporting questions con tribute to an inquiry and how, through engaging source work, new compelling and supporting questions emerge. * Students, particularly before middle school, will need considerable guidance and support from adults to construct questions that are suitable for inquiry. Determining Helpful Sources The third set of Indicators for Dimension 1 is detailed in the suggested K-12 Pathway for College, Career, and Civic Readiness in Table 7: Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration the multiple points of view represented in an argument, the structure of an explanation, the types of sources available, and the potential uses of the sources. TABLE 7: Suggested K-12 Pathway for College, Career, and Civic Readiness Dimension 1, Determining Helpful Sources BY THE END OF GRADE 2 BY THE END OF GRADE 5 BY THE END OF GRADE 8 BY THE END OF GRADE 12 INDIVIDUALLY AND WITH OTHERS, STUDENTS …</p>",14785,52010,16470,Dimension 1: Developing Questions & Planning Inquiries,Constructing Supporting Questions,Grades 9-12,D1.4.9-12,TRUE
c3-d1-5-k-2,D1.5.K-2,basic_html,<p>Determine the kinds of sources that will be helpful in answering compelling and supporting questions.</p>,14785,52012,16470,Dimension 1: Developing Questions & Planning Inquiries,Determining Helpful Sources,Grades K-2,D1.5.K-2,TRUE
c3-d1-5-3-5,D1.5.3-5,basic_html,"<p>Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration the different opinions people have about how to answer the questions.</p>",14785,52013,16470,Dimension 1: Developing Questions & Planning Inquiries,Determining Helpful Sources,Grades 3-5,D1.5.3-5,TRUE
c3-d1-5-6-8,D1.5.6-8,basic_html,"<p>Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration multiple points of views represented in the sources.</p>",14785,52014,16470,Dimension 1: Developing Questions & Planning Inquiries,Determining Helpful Sources,Grades 6-8,D1.5.6-8,TRUE
c3-d1-5-9-12,D1.5.9-12,basic_html,"<p>Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration multiple points of view represented in the sources, the types of sources available, and the potential uses of the sources.</p>",14785,52015,16470,Dimension 1: Developing Questions & Planning Inquiries,Determining Helpful Sources,Grades 9-12,D1.5.9-12,TRUE
c3-d2-civ-1-k-2,D2.Civ.1.K-2,basic_html,<p>Describe roles and responsibilities of people in authority.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.1.K-2,TRUE
c3-d2-civ-2-k-2,D2.Civ.2.K-2,basic_html,"<p>Explain how all people, not just official leaders, play important roles in a community.</p>",14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.2.K-2,TRUE
c3-d2-civ-3-k-2,D2.Civ.3.K-2,basic_html,<p>Explain the need for and purposes of rules in various settings inside and outside of school.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.3.K-2,TRUE
c3-d2-civ-5-k-2,D2.Civ.5.K-2,basic_html,<p>Explain what governments are and some of their functions.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.5.K-2,TRUE
c3-d2-civ-6-k-2,D2.Civ.6.K-2,basic_html,"<p>Describe how communities work to accomplish common tasks, establish responsibilities, and fulfill roles of authority.</p>",14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.6.K-2,TRUE
c3-d2-civ-7-k-2,D2.Civ.7.K-2,basic_html,<p>Apply civic virtues when participating in school settings.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.7.K-2,TRUE
c3-d2-civ-8-k-2,D2.Civ.8.K-2,basic_html,"<p>Describe democratic principles such as equality, fairness, and respect for legitimate authority and rules.</p>",14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.8.K-2,TRUE
c3-d2-civ-9-k-2,D2.Civ.9.K-2,basic_html,<p>Follow agreed-upon rules for discussions while responding attentively to others when addressing ideas and making decisions as a group.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.9.K-2,TRUE
c3-d2-civ-10-k-2,D2.Civ.10.K-2,basic_html,<p>Compare their own point of view with others’ perspectives.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.10.K-2,TRUE
c3-d2-civ-11-k-2,D2.Civ.11.K-2,basic_html,<p>Explain how people can work together to make decisions in the classroom.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.11.K-2,TRUE
c3-d2-civ-12-k-2,D2.Civ.12.K-2,basic_html,<p>Identify and explain how rules function in public (classroom and school) settings.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.12.K-2,TRUE
c3-d2-civ-14-k-2,D2.Civ.14.K-2,basic_html,<p>Describe how people have tried to improve their communities over time.</p>,14785,52017,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades K-2,D2.Civ.14.K-2,TRUE
c3-d2-civ-1-3-5,D2.Civ.1.3-5,basic_html,<p>Distinguish the responsibilities and powers of government officials at various levels and branches of government and in different times and places.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.1.3-5,TRUE
c3-d2-civ-2-3-5,D2.Civ.2.3-5,basic_html,"<p>Explain how a democracy relies on people’s responsible participation, and draw implications for how individuals should participate.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.2.3-5,TRUE
c3-d2-civ-3-3-5,D2.Civ.3.3-5,basic_html,"<p>Examine the origins and purposes of rules, laws, and key U.S. constitutional provisions.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.3.3-5,TRUE
c3-d2-civ-4-3-5,D2.Civ.4.3-5,basic_html,<p>Explain how groups of people make rules to create responsibilities and protect freedoms.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.4.3-5,TRUE
c3-d2-civ-5-3-5,D2.Civ.5.3-5,basic_html,"<p>Explain the origins, functions, and structure of different systems of government, including those created by the U.S. and state constitutions.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.5.3-5,TRUE
c3-d2-civ-6-3-5,D2.Civ.6.3-5,basic_html,"<p>Describe ways in which people benefit from and are challenged by working together, including through government, workplaces, voluntary organizations, and families.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.6.3-5,TRUE
c3-d2-civ-7-3-5,D2.Civ.7.3-5,basic_html,<p>Apply civic virtues and democratic principles in school settings.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.7.3-5,TRUE
c3-d2-civ-8-3-5,D2.Civ.8.3-5,basic_html,"<p>Identify core civic virtues and democratic principles that guide government, society, and communities.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.8.3-5,TRUE
c3-d2-civ-9-3-5,D2.Civ.9.3-5,basic_html,<p>Use deliberative processes when making decisions or reaching judgments as a group.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.9.3-5,TRUE
c3-d2-civ-10-3-5,D2.Civ.10.3-5,basic_html,"<p>Identify the beliefs, experiences, perspectives, and values that underlie their own and others’ points of view about civic issues.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.10.3-5,TRUE
c3-d2-civ-11-3-5,D2.Civ.11.3-5,basic_html,"<p>Compare procedures for making decisions in a variety of settings, including classroom, school, government, and/or society.</p>",14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.11.3-5,TRUE
c3-d2-civ-12-3-5,D2.Civ.12.3-5,basic_html,<p>Explain how rules and laws change society and how people change rules and laws.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.12.3-5,TRUE
c3-d2-civ-13-3-5,D2.Civ.13.3-5,basic_html,<p>Explain how policies are developed to address public problems.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.13.3-5,TRUE
c3-d2-civ-14-3-5,D2.Civ.14.3-5,basic_html,<p>Illustrate historical and contemporary means of changing society.</p>,14785,52018,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 3-5,D2.Civ.14.3-5,TRUE
c3-d2-civ-1-6-8,D2.Civ.1.6-8,basic_html,"<p>Distinguish the powers and responsibilities of citizens, political parties, interest groups, and the media in a variety of governmental and nongovernmental contexts.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.1.6-8,TRUE
c3-d2-civ-2-6-8,D2.Civ.2.6-8,basic_html,"<p>Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, petitioners, protesters, and office-holders).</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.2.6-8,TRUE
c3-d2-civ-3-6-8,D2.Civ.3.6-8,basic_html,"<p>Examine the origins, purposes, and impact of constitutions, laws, treaties, and international agreements.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.3.6-8,TRUE
c3-d2-civ-4-6-8,D2.Civ.4.6-8,basic_html,"<p>Explain the powers and limits of the three branches of government, public officials, and bureaucracies at different levels in the United States and in other countries.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.4.6-8,TRUE
c3-d2-civ-5-6-8,D2.Civ.5.6-8,basic_html,"<p>Explain the origins, functions, and structure of government with reference to the U.S. Constitution, state constitutions, and selected other systems of government.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.5.6-8,TRUE
c3-d2-civ-6-6-8,D2.Civ.6.6-8,basic_html,"<p>Describe the roles of political, civil, and economic organizations in shaping people’s lives.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.6.6-8,TRUE
c3-d2-civ-7-6-8,D2.Civ.7.6-8,basic_html,<p>Apply civic virtues and democratic principles in school and community settings.</p>,14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.7.6-8,TRUE
c3-d2-civ-8-6-8,D2.Civ.8.6-8,basic_html,"<p>Analyze ideas and principles contained in the founding documents of the United States, and explain how they influence the social and political system.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.8.6-8,TRUE
c3-d2-civ-9-6-8,D2.Civ.9.6-8,basic_html,<p>Compare deliberative processes used by a wide variety of groups in various settings.</p>,14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.9.6-8,TRUE
c3-d2-civ-10-6-8,D2.Civ.10.6-8,basic_html,"<p>Explain the relevance of personal interests and perspectives, civic virtues, and democratic principles when people address issues and problems in government and civil society.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.10.6-8,TRUE
c3-d2-civ-11-6-8,D2.Civ.11.6-8,basic_html,"<p>Differentiate among procedures for making decisions in the classroom, school, civil society, and local, state, and national government in terms of how civic purposes are intended.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.11.6-8,TRUE
c3-d2-civ-12-6-8,D2.Civ.12.6-8,basic_html,<p>Assess specific rules and laws (both actual and proposed) as means of addressing public problems.</p>,14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.12.6-8,TRUE
c3-d2-civ-13-6-8,D2.Civ.13.6-8,basic_html,"<p>Analyze the purposes, implementation, and consequences of public policies in multiple settings.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.13.6-8,TRUE
