ID,name,description,parent_tid,field_associated_framework
53000,Kindergarten,NGSS Standards for Kindergarten,,14784
53001,Forces and Interactions:  Pushes and Pulls,,53000,14784
53002,PS2: Motion and Stability: Forces and Interactions,,53001,14784
53003,"Interdependent Relationships in Ecosystems:  Animals, Plants, and Their Environment",,53000,14784
53004,ESS2: Earth's Systems,,53003,14784
53005,ESS3: Earth and Human Activity,,53003,14784
53006,Weather and Climate,,53000,14784
53007,PS3: Energy,,53006,14784
53008,ESS2: Earth's Systems,,53006,14784
53009,ESS3: Earth and Human Activity,,53006,14784
53010,Grade 1,NGSS Standards for Grade 1,,14784
53011,Waves:  Light and Sound,,53010,14784
53012,PS4: Waves and Their Applications in Technologies for Information Transfer,,53011,14784
53013,"Structure, Function, and Information Processing",,53010,14784
53014,LS1: From Molecules to Organisms: Structures and Processes,,53013,14784
53015,LS3: Heredity: Inheritance and Variation of Traits,,53013,14784
53016,Space Systems:  Patterns and Cycles,,53010,14784
53017,ESS1: Earth's Place in the Universe,,53016,14784
53018,Grade 2,NGSS Standards for Grade 2,,14784
53019,Structure and Properties of Matter,,53018,14784
53020,PS1: Matter and Its Interactions,,53019,14784
53021,Interdependent Relationships in Ecosystems,,53018,14784
53022,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53021,14784
53023,LS4: Biological Evolution: Unity and Diversity,,53021,14784
53024,Earth’s Systems:  Processes that Shape the Earth,,53018,14784
53025,ESS1: Earth's Place in the Universe,,53024,14784
53026,ESS2: Earth's Systems,,53024,14784
53027,Grade 3,NGSS Standards for Grade 3,,14784
53028,Interdependent Relationships in Ecosystems,,53027,14784
53029,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53028,14784
53030,LS4: Biological Evolution: Unity and Diversity,,53028,14784
53031,Inheritance and Variation of Traits:  Life Cycles and Traits,,53027,14784
53032,LS1: From Molecules to Organisms: Structures and Processes,,53031,14784
53033,LS3: Heredity: Inheritance and Variation of Traits,,53031,14784
53034,LS4: Biological Evolution: Unity and Diversity,,53031,14784
53035,Weather and Climate,,53027,14784
53036,ESS2: Earth's Systems,,53035,14784
53037,ESS3: Earth and Human Activity,,53035,14784
53038,Grade 4,NGSS Standards for Grade 4,,14784
53039,Energy,,53038,14784
53040,ESS3: Earth and Human Activity,,53039,14784
53041,Waves:  Waves and Information,,53038,14784
53042,PS4: Waves and Their Applications in Technologies for Information Transfer,,53041,14784
53043,"Structure, Function, and Information Processing",,53038,14784
53044,PS4: Waves and Their Applications in Technologies for Information Transfer,,53043,14784
53045,LS1: From Molecules to Organisms: Structures and Processes,,53043,14784
53046,Earth’s Systems: Processes that Shape the Earth,,53038,14784
53047,ESS1: Earth's Place in the Universe,,53046,14784
53048,ESS2: Earth's Systems,,53046,14784
53049,ESS3: Earth and Human Activity,,53046,14784
53050,Grade 5,NGSS Standards for Grade 5,,14784
53051,Structure and Properties of Matter,,53050,14784
53052,PS1: Matter and Its Interactions,,53051,14784
53053,Matter and Energy in Organisms and Ecosystems,,53050,14784
53054,PS3: Energy,,53053,14784
53055,LS1: From Molecules to Organisms: Structures and Processes,,53053,14784
53056,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53053,14784
53057,Earth’s Systems,,53050,14784
53058,ESS2: Earth's Systems,,53057,14784
53059,ESS3: Earth and Human Activity,,53057,14784
53060,Space Systems:  Stars and the Solar System,,53050,14784
53061,ESS1: Earth's Place in the Universe,,53060,14784
53062,Middle School,NGSS Standards for Middle School,,14784
53063,Structure and Properties of Matter,,53062,14784
53064,PS1: Matter and Its Interactions,,53063,14784
53065,Chemical Reactions,,53062,14784
53066,PS1: Matter and Its Interactions,,53065,14784
53067,Energy,,53062,14784
53068,PS3: Energy,,53067,14784
53069,Waves and Electromagnetic Radiation,,53062,14784
53070,PS4: Waves and Their Applications in Technologies for Information Transfer,,53069,14784
53071,"Structure, Function, and Information Processing",,53062,14784
53072,LS1: From Molecules to Organisms: Structures and Processes,,53071,14784
53073,Matter and Energy in Organisms and Ecosystems,,53062,14784
53074,LS1: From Molecules to Organisms: Structures and Processes,,53073,14784
53075,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53073,14784
53076,Interdependent Relationships in Ecosystems,,53062,14784
53077,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53076,14784
53078,"Growth, Development, and Reproduction of Organisms",,53062,14784
53079,LS1: From Molecules to Organisms: Structures and Processes,,53078,14784
53080,LS3: Heredity: Inheritance and Variation of Traits,,53078,14784
53081,LS4: Biological Evolution: Unity and Diversity,,53078,14784
53082,Natural Selection and Adaptations,,53062,14784
53083,LS4: Biological Evolution: Unity and Diversity,,53082,14784
53084,High School,NGSS Standards for High School,,14784
53085,Forces and Interactions,,53084,14784
53086,PS2: Motion and Stability: Forces and Interactions,,53085,14784
53087,Waves and Electromagnetic Radiation,,53084,14784
53088,PS4: Waves and Their Applications in Technologies for Information Transfer,,53087,14784
53089,Structure and Function,,53084,14784
53090,LS1: From Molecules to Organisms: Structures and Processes,,53089,14784
53091,Matter and Energy in Organisms and Ecosystems,,53084,14784
53092,LS1: From Molecules to Organisms: Structures and Processes,,53091,14784
53093,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53091,14784
53094,Interdependent Relationships in Ecosystems,,53084,14784
53095,"LS2: Ecosystems: Interactions, Energy, and Dynamics",,53094,14784
53096,LS4: Biological Evolution: Unity and Diversity,,53094,14784
53097,Inheritance and Variation of Traits,,53084,14784
53098,LS1: From Molecules to Organisms: Structures and Processes,,53097,14784
53099,LS3: Heredity: Inheritance and Variation of Traits,,53097,14784
53100,Natural Selection and Evolution,,53084,14784
53101,LS4: Biological Evolution: Unity and Diversity,,53100,14784
53102,Human Sustainability,,53084,14784
53103,ESS3: Earth and Human Activity,,53102,14784
