uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,field_dci,status
ngss-k-ps2-1,K-PS2-1,basic_html,"<p>Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.  [Clarification Statement:  Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other.] [Assessment Boundary:  Assessment is limited to different relative strengths or different directions, but not both at the same time. Assessment does not include non-contact pushes or pulls such as those produced by magnets.]</p>",14784,53002,16470,Kindergarten,Forces and Interactions:  Pushes and Pulls,PS2: Motion and Stability: Forces and Interactions,K-PS2-1,PS2,TRUE
ngss-k-ps2-2,K-PS2-2,basic_html,"<p>Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.*  [Clarification Statement:  Examples of problems requiring a solution could include having a marble or other object move a certain distance, follow a particular path, and knock down other objects. Examples of solutions could include tools such as a ramp to increase the speed of the object and a structure that would cause an object such as a marble or ball to turn.] [Assessment Boundary:  Assessment does not include friction as a mechanism for change in speed.]</p>",14784,53002,16470,Kindergarten,Forces and Interactions:  Pushes and Pulls,PS2: Motion and Stability: Forces and Interactions,K-PS2-2,PS2,TRUE
ngss-k-ess2-2,K-ESS2-2,basic_html,<p>Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.  [Clarification Statement:  Examples of plants and animals changing their environment could include a squirrel digs in the ground to hide its food and tree roots can break concrete.]</p>,14784,53004,16470,Kindergarten,"Interdependent Relationships in Ecosystems:  Animals, Plants, and Their Environment",ESS2: Earth's Systems,K-ESS2-2,ESS2,TRUE
ngss-k-ess3-1,K-ESS3-1,basic_html,"<p>Use a model to represent the relationship between the needs of different plants or animals (including humans) and the places they live.  [Clarification Statement:  Examples of relationships could include that deer eat buds and leaves, therefore, they usually live in forested areas, and grasses need sunlight so they often grow in meadows. Plants, animals, and their surroundings make up a system.]</p>",14784,53005,16470,Kindergarten,"Interdependent Relationships in Ecosystems:  Animals, Plants, and Their Environment",ESS3: Earth and Human Activity,K-ESS3-1,ESS3,TRUE
ngss-k-ess3-3,K-ESS3-3,basic_html,"<p>Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment.*  [Clarification Statement:  Examples of human impact on the land could include cutting trees to produce paper and using resources to produce bottles. Examples of solutions could include reusing paper and recycling cans and bottles.]</p>",14784,53005,16470,Kindergarten,"Interdependent Relationships in Ecosystems:  Animals, Plants, and Their Environment",ESS3: Earth and Human Activity,K-ESS3-3,ESS3,TRUE
ngss-k-ps3-1,K-PS3-1,basic_html,"<p>Make observations to determine the effect of sunlight on Earth’s surface.  [Clarification Statement:  Examples of Earth’s surface could include sand, soil, rocks, and water] [Assessment Boundary:  Assessment of temperature is limited to relative measures such as warmer/cooler.]</p>
<p><strong>Clarification Statement:</strong> Examples of structures could include umbrellas, canopies, and tents that minimize the warming effect of the sun. K-ESS2-1. Use and share observations of local weather conditions to describe patterns over time.    Examples of qualitative observations could include descriptions of the weather (such as sunny, cloudy, rainy, and warm); examples of quantitative observations could include numbers of sunny, windy, and rainy days in a month. Examples of patterns could include that it is usually cooler in the morning than in the afternoon and the number of sunny days versus cloudy days in different months. [Assessment Boundary:  Assessment of quantitative observations limited to whole numbers and relative measures such as warmer/cooler. K-ESS3-2. Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.*    Emphasis is on local forms of severe weather. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Asking Questions and Defining Problems Asking questions and defining problems in grades K–2 builds on prior experiences and progresses to simple descriptive questions that can be tested. ▪Ask questions based on observations to find more information about the designed world. (K-ESS3-2) Planning and Carrying Out Investigations Planning and carrying out investigations to answer questions or test solutions to problems in K–2 builds on prior experiences and progresses to simple investigations, based on fair tests, which provide data to support explanations or design solutions. ▪ Make observations (firsthand or from media) to collect data that can be used to make comparisons. (K-PS3-1) Analyzing and Interpreting Data Analyzing data in K–2 builds on prior experiences and progresses to collecting, recording, and sharing observations. ▪ Use observations (firsthand or from media) to describe patterns in the natural world in order to answer scientific questions. (K-ESS2-1) Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Use tools and materials provided to design and build a device that solves a specific problem or a solution to a specific problem. (K-PS3 2) Obtaining, Evaluating, and Communicating Information Obtaining, evaluating, and communicating information in K–2 builds on prior experiences and uses observations and texts to communicate new information. ▪ Read grade-appropriate texts and/or use media to obtain scientific information to describe patterns in the natural world. (K-ESS3-2) ----------------------------------------------------------------------- Connections to Nature of Science Scientific Investigations Use a Variety of Methods ▪ Scientists use different ways to study the world. (K-PS3-1) Science Knowledge is Based on Empirical Evidence ▪ Scientists look for patterns and order when making observations about the world. (K-ESS2-1) Disciplinary Core Ideas PS3.B:  Conservation of Energy and Energy Transfer ▪ Sunlight warms Earth’s surface. (K-PS3-1),(K-PS3-2) ESS2.D:  Weather and Climate ▪ Weather is the combination of sunlight, wind, snow or rain, and temperature in a particular region at a particular time. People measure these conditions to describe and record the weather and to notice patterns over time. (K-ESS2-1) ESS3.B:  Natural Hazards ▪ Some kinds of severe weather are more likely than others in a given region. Weather scientists forecast severe weather so that the communities can prepare for and respond to these events. (K-ESS3-2) ETS1.A:  Defining and Delimiting an Engineering Problem ▪ Asking questions, making observations, and gathering information are helpful in thinking about problems. (secondary to K-ESS3-2) Crosscutting Concepts Patterns ▪ Patterns in the natural world can be observed, used to describe phenomena, and used as evidence. (K-ESS2-1) Cause and Effect ▪ Events have causes that generate observable patterns. (K-PS3-1),(K-PS3- 2),(K-ESS3-2) ---------------------------------------- Connections to Engineering, Technology, and Applications of Science Interdependence of Science, Engineering, and Technology ▪ People encounter questions about the natural world every day. (K-ESS3-2) Influence of Engineering, Technology, and Science on Society and the Natural World ▪ People depend on various technologies in their lives; human life would be very different without technology. (K-ESS3 2) Connections to other DCIs in kindergarten:  K.ETS1.A (K-PS3-2),(K-ESS3-2); K.ETS1.B (K-PS3-2) Articulation of DCIs across grade-levels:  1.PS4.B (K-PS3-1),(K-PS3-2); 2.ESS1.C (K-ESS3-2); 2.ESS2.A (K-ESS2-1); 2.ETS1.B (K-PS3-2); 3.ESS2.D (K-PS3-1),(K-ESS2-1); 3.ESS3.B (K-ESS3-2); 4.ESS2.A (K-ESS2-1); 4.ESS3.B (K-ESS3-2); 4.ETS1.A (K-PS3-2) Common Core State Standards Connections: ELA/Literacy – RI.K.1 With prompting and support, ask and answer questions about key details in a text. (K-ESS3-2) W.K.7 Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them). (K-PS3-1),(K-PS3-2),(K-ESS2 1) SL.K.3 Ask and answer questions in order to seek help, get information, or clarify something that is not understood. (K-ESS3-2) Mathematics – MP.2 Reason abstractly and quantitatively. (K-ESS2-1) MP.4 Model with mathematics. (K-ESS2-1),(K-ESS3-2) K.CC Counting and Cardinality (K-ESS3-2) K.CC.A Know number names and the count sequence. (K-ESS2-1) K.MD.A.1 Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object. (K-ESS2-1) K.MD.A.2 Directly compare two objects with a measurable attribute in common, to see which object has “more of”/”less of” the attribute, and describe the difference. (K-PS3-1),(K- PS3-2) K.MD.B.3 Classify objects into given categories; count the number of objects in each category and sort the categories by count. (K-ESS2-1) September 2017 ©2013 Achieve, Inc. All rights reserved. 7 of 102</p>",14784,53007,16470,Kindergarten,Weather and Climate,PS3: Energy,K-PS3-1,PS3,TRUE
ngss-k-ps3-2,K-PS3-2,basic_html,"<p>Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.*</p>
<p><strong>Clarification Statement:</strong> Examples of structures could include umbrellas, canopies, and tents that minimize the warming effect of the sun. K-ESS2-1. Use and share observations of local weather conditions to describe patterns over time.    Examples of qualitative observations could include descriptions of the weather (such as sunny, cloudy, rainy, and warm); examples of quantitative observations could include numbers of sunny, windy, and rainy days in a month. Examples of patterns could include that it is usually cooler in the morning than in the afternoon and the number of sunny days versus cloudy days in different months. [Assessment Boundary:  Assessment of quantitative observations limited to whole numbers and relative measures such as warmer/cooler. K-ESS3-2. Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.*    Emphasis is on local forms of severe weather. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Asking Questions and Defining Problems Asking questions and defining problems in grades K–2 builds on prior experiences and progresses to simple descriptive questions that can be tested. ▪Ask questions based on observations to find more information about the designed world. (K-ESS3-2) Planning and Carrying Out Investigations Planning and carrying out investigations to answer questions or test solutions to problems in K–2 builds on prior experiences and progresses to simple investigations, based on fair tests, which provide data to support explanations or design solutions. ▪ Make observations (firsthand or from media) to collect data that can be used to make comparisons. (K-PS3-1) Analyzing and Interpreting Data Analyzing data in K–2 builds on prior experiences and progresses to collecting, recording, and sharing observations. ▪ Use observations (firsthand or from media) to describe patterns in the natural world in order to answer scientific questions. (K-ESS2-1) Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Use tools and materials provided to design and build a device that solves a specific problem or a solution to a specific problem. (K-PS3 2) Obtaining, Evaluating, and Communicating Information Obtaining, evaluating, and communicating information in K–2 builds on prior experiences and uses observations and texts to communicate new information. ▪ Read grade-appropriate texts and/or use media to obtain scientific information to describe patterns in the natural world. (K-ESS3-2) ----------------------------------------------------------------------- Connections to Nature of Science Scientific Investigations Use a Variety of Methods ▪ Scientists use different ways to study the world. (K-PS3-1) Science Knowledge is Based on Empirical Evidence ▪ Scientists look for patterns and order when making observations about the world. (K-ESS2-1) Disciplinary Core Ideas PS3.B:  Conservation of Energy and Energy Transfer ▪ Sunlight warms Earth’s surface. (K-PS3-1),(K-PS3-2) ESS2.D:  Weather and Climate ▪ Weather is the combination of sunlight, wind, snow or rain, and temperature in a particular region at a particular time. People measure these conditions to describe and record the weather and to notice patterns over time. (K-ESS2-1) ESS3.B:  Natural Hazards ▪ Some kinds of severe weather are more likely than others in a given region. Weather scientists forecast severe weather so that the communities can prepare for and respond to these events. (K-ESS3-2) ETS1.A:  Defining and Delimiting an Engineering Problem ▪ Asking questions, making observations, and gathering information are helpful in thinking about problems. (secondary to K-ESS3-2) Crosscutting Concepts Patterns ▪ Patterns in the natural world can be observed, used to describe phenomena, and used as evidence. (K-ESS2-1) Cause and Effect ▪ Events have causes that generate observable patterns. (K-PS3-1),(K-PS3- 2),(K-ESS3-2) ---------------------------------------- Connections to Engineering, Technology, and Applications of Science Interdependence of Science, Engineering, and Technology ▪ People encounter questions about the natural world every day. (K-ESS3-2) Influence of Engineering, Technology, and Science on Society and the Natural World ▪ People depend on various technologies in their lives; human life would be very different without technology. (K-ESS3 2) Connections to other DCIs in kindergarten:  K.ETS1.A (K-PS3-2),(K-ESS3-2); K.ETS1.B (K-PS3-2) Articulation of DCIs across grade-levels:  1.PS4.B (K-PS3-1),(K-PS3-2); 2.ESS1.C (K-ESS3-2); 2.ESS2.A (K-ESS2-1); 2.ETS1.B (K-PS3-2); 3.ESS2.D (K-PS3-1),(K-ESS2-1); 3.ESS3.B (K-ESS3-2); 4.ESS2.A (K-ESS2-1); 4.ESS3.B (K-ESS3-2); 4.ETS1.A (K-PS3-2) Common Core State Standards Connections: ELA/Literacy – RI.K.1 With prompting and support, ask and answer questions about key details in a text. (K-ESS3-2) W.K.7 Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them). (K-PS3-1),(K-PS3-2),(K-ESS2 1) SL.K.3 Ask and answer questions in order to seek help, get information, or clarify something that is not understood. (K-ESS3-2) Mathematics – MP.2 Reason abstractly and quantitatively. (K-ESS2-1) MP.4 Model with mathematics. (K-ESS2-1),(K-ESS3-2) K.CC Counting and Cardinality (K-ESS3-2) K.CC.A Know number names and the count sequence. (K-ESS2-1) K.MD.A.1 Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object. (K-ESS2-1) K.MD.A.2 Directly compare two objects with a measurable attribute in common, to see which object has “more of”/”less of” the attribute, and describe the difference. (K-PS3-1),(K- PS3-2) K.MD.B.3 Classify objects into given categories; count the number of objects in each category and sort the categories by count. (K-ESS2-1) September 2017 ©2013 Achieve, Inc. All rights reserved. 7 of 102</p>",14784,53007,16470,Kindergarten,Weather and Climate,PS3: Energy,K-PS3-2,PS3,TRUE
ngss-k-ess2-1,K-ESS2-1,basic_html,"<p>Use and share observations of local weather conditions to describe patterns over time.  [Clarification Statement:  Examples of qualitative observations could include descriptions of the weather (such as sunny, cloudy, rainy, and warm); examples of quantitative observations could include numbers of sunny, windy, and rainy days in a month. Examples of patterns could include that it is usually cooler in the morning than in the afternoon and the number of sunny days versus cloudy days in different months.] [Assessment Boundary:  Assessment of quantitative observations limited to whole numbers and relative measures such as warmer/cooler.]</p>",14784,53008,16470,Kindergarten,Weather and Climate,ESS2: Earth's Systems,K-ESS2-1,ESS2,TRUE
ngss-k-ess3-2,K-ESS3-2,basic_html,"<p>Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.*  [Clarification Statement:  Emphasis is on local forms of severe weather.]</p>",14784,53009,16470,Kindergarten,Weather and Climate,ESS3: Earth and Human Activity,K-ESS3-2,ESS3,TRUE
ngss-1-ps4-1,1-PS4-1,basic_html,"<p>Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.  [Clarification Statement:  Examples of vibrating materials that make sound could include tuning forks and plucking a stretched string. Examples of how sound can make matter vibrate could include holding a piece of paper near a speaker making sound and holding an object near a vibrating tuning fork.]</p>
<p><strong>Clarification Statement:</strong> Examples of observations could include those made in a completely dark room, a pinhole box, and a video of a cave explorer with a flashlight. Illumination could be from an external light source or by an object giving off its own light. 1-PS4-3. Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.    Examples of materials could include those that are transparent (such as clear plastic), translucent (such as wax paper), opaque (such as cardboard), and reflective (such as a mirror). [Assessment Boundary:  Assessment does not include the speed of light. 1-PS4-4. Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.*    Examples of devices could include a light source to send signals, paper cup and string “telephones,” and a pattern of drum beats. [Assessment Boundary:  Assessment does not include technological details for how communication devices work. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Planning and Carrying Out Investigations Planning and carrying out investigations to answer questions or test solutions to problems in K–2 builds on prior experiences and progresses to simple investigations, based on fair tests, which provide data to support explanations or design solutions. ▪ Plan and conduct investigations collaboratively to produce data to serve as the basis for evidence to answer a question. (1-PS4-1),(1-PS4-3) Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Make observations (firsthand or from media) to construct an evidence-based account for natural phenomena (1-PS4 2) ▪ Use tools and materials provided to design a device that solves a specific problem. (1-PS4-4) -------------------------------------------------------- Connections to Nature of Science Scientific Investigations Use a Variety of Methods ▪ Science investigations begin with a question. (1-PS4-1) ▪ Scientists use different ways to study the world. (1-PS4-1) Disciplinary Core Ideas PS4.A:  Wave Properties ▪ Sound can make matter vibrate, and vibrating matter can make sound. (1-PS4-1) PS4.B:  Electromagnetic Radiation ▪ Objects can be seen if light is available to illuminate them or if they give off their own light. (1-PS4-2) ▪ Some materials allow light to pass through them, others allow only some light through and others block all the light and create a dark shadow on any surface beyond them, where the light cannot reach. Mirrors can be used to redirect a light beam. (Boundary: The idea that light travels from place to place is developed through experiences with light sources, mirrors, and shadows, but no attempt is made to discuss the speed of light.) (1- PS4-3) PS4.C:  Information Technologies and Instrumentation ▪ People also use a variety of devices to communicate (send and receive information) over long distances. (1- PS4-4) Crosscutting Concepts Cause and Effect ▪ Simple tests can be designed to gather evidence to support or refute student ideas about causes. (1-PS4-1),(1-PS4-2),(1-PS4-3) ------------------------------------------------- Connections to Engineering, Technology, and Applications of Science Influence of Engineering, Technology, and Science, on Society and the Natural World ▪ People depend on various technologies in their lives; human life would be very different without technology. (1-PS4-4) Connections to other DCIs in first grade:  N/A Articulation of DCIs across grade-levels:  K.ETS1.A (1-PS4-4); 2.PS1.A (1-PS4-3); 2.ETS1.B (1-PS4-4); 4.PS4.C (1-PS4-4); 4.PS4.B (1-PS4-2); 4.ETS1.A (1-PS4-4) Common Core State Standards Connections: ELA/Literacy – W.1.2 Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure. (1-PS4-2) W.1.7 Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions). (1-PS4- 1),(1-PS4-2),(1-PS4-3),(1-PS4-4) W.1.8 With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question. (1-PS4-1),(1-PS4-2),(1- PS4-3) SL.1.1 Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups. (1-PS4-1),(1-PS4-2),(1- PS4-3) Mathematics – MP.5 Use appropriate tools strategically. (1-PS4-4) 1.MD.A.1 Order three objects by length; compare the lengths of two objects indirectly by using a third object. (1-PS4-4) 1.MD.A.2 Express the length of an object as a whole number of length units, by layering multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. (1-PS4-4) September 2017 ©2013 Achieve, Inc. All rights reserved. 9 of 102</p>",14784,53012,16470,Grade 1,Waves:  Light and Sound,PS4: Waves and Their Applications in Technologies for Information Transfer,1-PS4-1,PS4,TRUE
