uuid,title,body/value,field_framework,field_subject,field_anchor_standard_ref
eq-EQ_20f557ba,Where do choreographers get ideas for dances?,<p>Where do choreographers get ideas for dances?</p>,NCAS,Dance,1
eq-EQ_8df6c8e1,What influences choice-making in creating choreography?,<p>What influences choice-making in creating choreography?</p>,NCAS,Dance,2
eq-EQ_72eafd66,"How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?","<p>How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?</p>",NCAS,Dance,2
eq-EQ_f2c96da2,"How do dancers work with space, time and energy to communicate artistic expression?","<p>How do dancers work with space, time and energy to communicate artistic expression?</p>",NCAS,Dance,4
eq-EQ_c81db2f1,What must a dancer do to prepare the mind and body for artistic expression?,<p>What must a dancer do to prepare the mind and body for artistic expression?</p>,NCAS,Dance,5
eq-EQ_e79261ab,How does a dancer heighten artistry in a public performance?,<p>How does a dancer heighten artistry in a public performance?</p>,NCAS,Dance,6
eq-EQ_b03ff933,How is a dance understood?,<p>How is a dance understood?</p>,NCAS,Dance,7
eq-EQ_61ee2960,How is dance interpreted?,<p>How is dance interpreted?</p>,NCAS,Dance,8
eq-EQ_737381c1,What criteria are used to evaluate dance?,<p>What criteria are used to evaluate dance?</p>,NCAS,Dance,9
eq-EQ_52fb3afd,"How does dance deepen our understanding of ourselves, other knowledge, and events around us?","<p>How does dance deepen our understanding of ourselves, other knowledge, and events around us?</p>",NCAS,Dance,10
eq-EQ_9d4bbca2,"How does knowing about societal, cultural, historical and community experiences expand dance literacy?","<p>How does knowing about societal, cultural, historical and community experiences expand dance literacy?</p>",NCAS,Dance,11
eq-EQ_d81c06a1,|  |  |  |  |  |  |  |  |  |  |  |  | CREATING?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | CREATING?</p>,NCAS,Dance,11
eq-EQ_c1cd84f2,|  |  |  |  |  |  |  |  |  |  |  |  | Performing?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Performing?</p>,NCAS,Dance,11
eq-EQ_49c9d21e,|  |  |  |  |  |  |  |  |  |  |  |  | Responding?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Responding?</p>,NCAS,Dance,11
eq-EQ_883660e4,|  |  |  |  |  |  |  |  |  |  |  |  | Connecting?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Connecting?</p>,NCAS,Dance,11
