ID,name,description,parent_tid,field_associated_framework
50002,HS Advanced,,50001,14786
50004,HS Advanced,,50003,14786
50006,HS Advanced,,50005,14786
50009,HS Advanced,,50008,14786
50011,HS Advanced,,50010,14786
50013,HS Advanced,,50012,14786
50016,HS Advanced,,50015,14786
50018,HS Advanced,,50017,14786
50021,HS Advanced,,50020,14786
50023,HS Advanced,,50022,14786
50024,Pre-K,,50001,14786
50025,Pre-K,,50003,14786
50026,Pre-K,,50005,14786
50027,Pre-K,,50008,14786
50028,Pre-K,,50010,14786
50029,Pre-K,,50012,14786
50030,Pre-K,,50015,14786
50031,Pre-K,,50017,14786
50032,Pre-K,,50020,14786
