uuid,title,body/value,field_framework,field_subject,field_anchor_standard_ref
eq-EQ_ee165909,How do musicians generate creative ideas?,<p>How do musicians generate creative ideas?</p>,NCAS,Music rev 12-1-16,1
eq-EQ_255e8fae,How do musicians improve the quality of their creative work?,<p>How do musicians improve the quality of their creative work?</p>,NCAS,Music rev 12-1-16,1
eq-EQ_61fe562b,How do musicians make creative decisions?,<p>How do musicians make creative decisions?</p>,NCAS,Music rev 12-1-16,2
eq-EQ_e1f5ed09,When is creative work ready to share?,<p>When is creative work ready to share?</p>,NCAS,Music rev 12-1-16,3
eq-EQ_df4d0647,How does understanding the structure and context of musical works inform performance?,<p>How does understanding the structure and context of musical works inform performance?</p>,NCAS,Music rev 12-1-16,3
eq-EQ_bc8ca276,How do performers select repertoire?,<p>How do performers select repertoire?</p>,NCAS,Music rev 12-1-16,4
eq-EQ_57831979,How do musicians improve the quality of their performance?,<p>How do musicians improve the quality of their performance?</p>,NCAS,Music rev 12-1-16,5
eq-EQ_9bbdfaca,How do performers interpret musical works?,<p>How do performers interpret musical works?</p>,NCAS,Music rev 12-1-16,5
eq-EQ_a7f33027,When is a performance judged ready to present?,<p>When is a performance judged ready to present?</p>,NCAS,Music rev 12-1-16,6
eq-EQ_97e907d2,How do context and the manner in which musical work is presented influence audience response?,<p>How do context and the manner in which musical work is presented influence audience response?</p>,NCAS,Music rev 12-1-16,6
eq-EQ_72053df1,How do individuals choose music to experience?,<p>How do individuals choose music to experience?</p>,NCAS,Music rev 12-1-16,7
eq-EQ_fd9679f4,How do we judge the quality of musical work(s) and performance(s)?,<p>How do we judge the quality of musical work(s) and performance(s)?</p>,NCAS,Music rev 12-1-16,9
eq-EQ_b1f4a4b6,How do we discern the musical creators’ and performers’ expressive intent?,<p>How do we discern the musical creators’ and performers’ expressive intent?</p>,NCAS,Music rev 12-1-16,8
eq-EQ_a0a7b632,"How do musicians make meaningful connections to creating, performing, and responding?","<p>How do musicians make meaningful connections to creating, performing, and responding?</p>",NCAS,Music rev 12-1-16,10
eq-EQ_6d755893,"How do the other arts, other disciplines, contexts, and daily life inform creating, performing, and responding to music?","<p>How do the other arts, other disciplines, contexts, and daily life inform creating, performing, and responding to music?</p>",NCAS,Music rev 12-1-16,10
eq-EQ_79b214ca,|  |  |  |  |  |  |  |  |  |  | CREATING?,<p>|  |  |  |  |  |  |  |  |  |  | CREATING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_7feb39f1,|  |  |  |  |  |  |  |  |  |  |?,<p>|  |  |  |  |  |  |  |  |  |  |?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_f2ad6362,|  |  |  |  |  |  |  |  |  |  | PERFORMING?,<p>|  |  |  |  |  |  |  |  |  |  | PERFORMING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_0ebda360,|  |  |  |  |  |  |  |  |  |  | RESPONDING?,<p>|  |  |  |  |  |  |  |  |  |  | RESPONDING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_fb57a752,|  |  |  |  |  |  |  |  |  |  | CONNECTING?,<p>|  |  |  |  |  |  |  |  |  |  | CONNECTING?</p>,NCAS,Music rev 12-1-16,11
eq-EQ_26747e54,How does understanding the structure and context of music inform a response?,<p>How does understanding the structure and context of music inform a response?</p>,NCAS,Music Harmonizing Instruments,7
eq-EQ_b88e3f2f,|  |  |  |  |?,<p>|  |  |  |  |?</p>,NCAS,Music Harmonizing Instruments,11
eq-EQ_338f7cb2,|  |  |?,<p>|  |  |?</p>,NCAS,Music Tech Strand,11
eq-EQ_02d8ab9a,|  |  | | HS Proficient HS Accomplished HS Advanced?,<p>|  |  | | HS Proficient HS Accomplished HS Advanced?</p>,NCAS,Music Tech Strand,11
eq-EQ_a7d105fb,"|  |  | | a Demonstrate understanding of relationships between music and the other arts, other?","<p>|  |  | | a Demonstrate understanding of relationships between music and the other arts, other?</p>",NCAS,Music Tech Strand,11
eq-EQ_10917ba1,How does understanding the structure and context of the music influence a response?,<p>How does understanding the structure and context of the music influence a response?</p>,NCAS,Music Traditional and Emerging Ensembles,6
eq-EQ_4daefad8,"|  |  | | Demonstrate understanding of relationships between music and the other arts, other?","<p>|  |  | | Demonstrate understanding of relationships between music and the other arts, other?</p>",NCAS,Music Theory and Composition Strand,11
