ID,name,description,parent_tid,field_associated_framework
50035,PKa,,50034,14786
50036,Ka,,50034,14786
50038,1a,,50037,14786
50039,2a,,50037,14786
50040,3a,,50037,14786
50041,4a,,50037,14786
50042,5a,,50037,14786
50043,6a,,50037,14786
50044,7a,,50037,14786
50045,8a,,50037,14786
50048,PKa,,50047,14786
50049,Ka,,50047,14786
50050,1a,,50034,14786
50051,2a,,50034,14786
50052,3a,,50034,14786
50053,4a,,50034,14786
50054,5a,,50034,14786
50055,6a,,50034,14786
50056,7a,,50034,14786
50057,8a,,50034,14786
50058,1a,,50047,14786
50059,2a,,50047,14786
50060,3a,,50047,14786
50061,4a,,50047,14786
50062,5a,,50047,14786
50063,6a,,50047,14786
50064,7a,,50047,14786
50065,8a,,50047,14786
50068,1a,,50067,14786
50069,2a,,50067,14786
50070,3a,,50067,14786
50071,4a,,50067,14786
50072,5a,,50067,14786
50073,6a,,50067,14786
50074,7a,,50067,14786
50075,8a,,50067,14786
50077,1a,,50076,14786
50078,2a,,50076,14786
50079,3a,,50076,14786
50080,4a,,50076,14786
50081,5a,,50076,14786
50082,6a,,50076,14786
50083,7a,,50076,14786
50084,8a,,50076,14786
50085,PKa,,50067,14786
50086,Ka,,50067,14786
50087,3c,,50047,14786
50088,4c,,50047,14786
50089,5cExplain,,50047,14786
50090,6c,,50047,14786
50091,7c,,50047,14786
50092,8c,,50047,14786
50094,PKa,,50093,14786
50095,Ka,,50093,14786
50097,1a,,50096,14786
50098,2a,,50096,14786
50099,3b,,50096,14786
50100,4b,,50096,14786
50101,5b,,50096,14786
50102,6b,,50096,14786
50103,7b,,50096,14786
50104,8b,,50096,14786
50105,6b,,50067,14786
50106,7b,,50067,14786
50107,8b,,50067,14786
50108,1a,,50093,14786
50109,2a,,50093,14786
50110,3a,,50093,14786
50111,4a,,50093,14786
50112,5a,,50093,14786
50113,6a,,50093,14786
50114,7a,,50093,14786
50115,8a,,50093,14786
50116,H,,50076,14786
50117,H,,50037,14786
50118,H,,50034,14786
50119,H,,50047,14786
50121,H,,50120,14786
50122,H,,50096,14786
50123,H,,50067,14786
50125,H,,50124,14786
50126,H,,50093,14786
50129,H,,50128,14786
50131,H,,50130,14786
50156,T,,50076,14786
50157,T,,50037,14786
50158,T,,50034,14786
50159,T,,50047,14786
50160,T,,50120,14786
50161,T,,50096,14786
50162,T,,50067,14786
50163,T,,50124,14786
50164,T,,50093,14786
50165,T,,50128,14786
50166,T,,50130,14786
50200,E,,50076,14786
50201,E,,50037,14786
50202,E,,50034,14786
50203,E,,50047,14786
50204,E,,50120,14786
50205,E,,50096,14786
50206,E,,50067,14786
50207,E,,50124,14786
50208,E,,50093,14786
50209,E,,50128,14786
50210,E,,50130,14786
50211,C,,50076,14786
50212,C,,50037,14786
50213,C,,50034,14786
50214,C,,50047,14786
50215,C,,50120,14786
50216,C,,50096,14786
50217,C,,50067,14786
50218,C,,50124,14786
50219,C,,50093,14786
50220,C,,50128,14786
50221,C,,50130,14786
