uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,field_eu_references,field_eq_references,status
ncas-music-mu-cr3.2.pka,MU:Cr3.2.PKa,basic_html,"<p>With substantial guidance, share revised musical ideas with peers.</p>",14786,50035,16469,Creating,Anchor Standard 3,PKa,MU:Cr3.2.PKa,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr3.2.pka,MU:Cr3.2.PKa,basic_html,"<p>With substantial guidance, share revised musical ideas with peers.</p>",14786,50035,16469,Creating,Anchor Standard 3,PKa,MU:Cr3.2.PKa,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr3.2.ka,MU:Cr3.2.Ka,basic_html,"<p>With guidance, demonstrate  a final version of personal musical ideas to peers.</p>",14786,50036,16469,Creating,Anchor Standard 3,Ka,MU:Cr3.2.Ka,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr3.2.ka,MU:Cr3.2.Ka,basic_html,"<p>With guidance, demonstrate  a final version of personal musical ideas to peers.</p>",14786,50036,16469,Creating,Anchor Standard 3,Ka,MU:Cr3.2.Ka,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.1a,MU:Cr2.1.1a,basic_html,"<p>With limited guidance, demonstrate and discuss personal reasons for selecting musical ideas  that represent  expressive intent.</p>",14786,50038,16469,Creating,Anchor Standard 2,1a,MU:Cr2.1.1a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.1a,MU:Cr2.1.1a,basic_html,"<p>With limited guidance, demonstrate and discuss personal reasons for selecting musical ideas  that represent  expressive intent.</p>",14786,50038,16469,Creating,Anchor Standard 2,1a,MU:Cr2.1.1a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.2a,MU:Cr2.1.2a,basic_html,<p>Demonstrate and explain  personal reasons for selecting patterns and ideas for their music that represent expressive intent.</p>,14786,50039,16469,Creating,Anchor Standard 2,2a,MU:Cr2.1.2a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.2a,MU:Cr2.1.2a,basic_html,<p>Demonstrate and explain  personal reasons for selecting patterns and ideas for their music that represent expressive intent.</p>,14786,50039,16469,Creating,Anchor Standard 2,2a,MU:Cr2.1.2a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.3a,MU:Cr2.1.3a,basic_html,"<p>Demonstrate selected musical ideas for a simple  improvisation  or composition  to express intent,  and describe connection  to a specific purpose  and  context .</p>",14786,50040,16469,Creating,Anchor Standard 2,3a,MU:Cr2.1.3a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.3a,MU:Cr2.1.3a,basic_html,"<p>Demonstrate selected musical ideas for a simple  improvisation  or composition  to express intent,  and describe connection  to a specific purpose  and  context .</p>",14786,50040,16469,Creating,Anchor Standard 2,3a,MU:Cr2.1.3a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.4a,MU:Cr2.1.4a,basic_html,"<p>Demonstrate selected and organized musical ideas for an improvisation, arrangement ,  or composition to express intent, and explain connection to  purpose and context.</p>",14786,50041,16469,Creating,Anchor Standard 2,4a,MU:Cr2.1.4a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.4a,MU:Cr2.1.4a,basic_html,"<p>Demonstrate selected and organized musical ideas for an improvisation, arrangement ,  or composition to express intent, and explain connection to  purpose and context.</p>",14786,50041,16469,Creating,Anchor Standard 2,4a,MU:Cr2.1.4a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.5a,MU:Cr2.1.5a,basic_html,"<p>Demonstrate selected and develop ed musical ideas for improvisations, arrangements , or compositions  to express intent, and explain connection to purpose and context.</p>",14786,50042,16469,Creating,Anchor Standard 2,5a,MU:Cr2.1.5a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.5a,MU:Cr2.1.5a,basic_html,"<p>Demonstrate selected and develop ed musical ideas for improvisations, arrangements , or compositions  to express intent, and explain connection to purpose and context.</p>",14786,50042,16469,Creating,Anchor Standard 2,5a,MU:Cr2.1.5a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.6a,MU:Cr2.1.6a,basic_html,"<p>Select, organize, construct, and document personal musical ideas for arrangements and  compositions  within</p>",14786,50043,16469,Creating,Anchor Standard 2,6a,MU:Cr2.1.6a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
ncas-music-mu-cr2.1.6a,MU:Cr2.1.6a,basic_html,"<p>Select, organize, construct, and document personal musical ideas for arrangements and  compositions  within</p>",14786,50043,16469,Creating,Anchor Standard 2,6a,MU:Cr2.1.6a,EU_e6c2f8dc,EQ_b1f4a4b6,TRUE
