ID,name,description,parent_tid,field_associated_framework
50000,Creating,Conceiving and developing new artistic ideas and work,,14786
50001,Anchor Standard 1,,50000,14786
50002,HS Advanced,,50001,14786
50003,Anchor Standard 2,,50000,14786
50004,HS Advanced,,50003,14786
50005,Anchor Standard 3,,50000,14786
50006,HS Advanced,,50005,14786
50007,Performing/Presenting/Producing,,,14786
50008,Anchor Standard 4,,50007,14786
50009,HS Advanced,,50008,14786
50010,Anchor Standard 5,,50007,14786
50011,HS Advanced,,50010,14786
50012,Anchor Standard 6,,50007,14786
50013,HS Advanced,,50012,14786
50014,Responding,Understanding and evaluating how the arts convey meaning,,14786
50015,Anchor Standard 8,,50014,14786
50016,HS Advanced,,50015,14786
50017,Anchor Standard 9,,50014,14786
50018,HS Advanced,,50017,14786
50019,Connecting,,,14786
50020,Anchor Standard 10,,50019,14786
50021,HS Advanced,,50020,14786
50022,Anchor Standard 11,,50019,14786
50023,HS Advanced,,50022,14786
50024,Pre-K,,50001,14786
50025,Pre-K,,50003,14786
50026,Pre-K,,50005,14786
50027,Pre-K,,50008,14786
50028,Pre-K,,50010,14786
50029,Pre-K,,50012,14786
50030,Pre-K,,50015,14786
50031,Pre-K,,50017,14786
50032,Pre-K,,50020,14786
50033,Creating,Conceiving and developing new artistic ideas and work,,14786
50034,Anchor Standard 3,,50033,14786
50035,PKa,,50034,14786
50036,Ka,,50034,14786
50037,Anchor Standard 2,,50033,14786
50038,1a,,50037,14786
50039,2a,,50037,14786
50040,3a,,50037,14786
50041,4a,,50037,14786
50042,5a,,50037,14786
50043,6a,,50037,14786
50044,7a,,50037,14786
50045,8a,,50037,14786
50046,Performing/Presenting/Producing,,,14786
50047,Anchor Standard 4,,50046,14786
50048,PKa,,50047,14786
50049,Ka,,50047,14786
50050,1a,,50034,14786
50051,2a,,50034,14786
50052,3a,,50034,14786
50053,4a,,50034,14786
50054,5a,,50034,14786
50055,6a,,50034,14786
50056,7a,,50034,14786
50057,8a,,50034,14786
50058,1a,,50047,14786
50059,2a,,50047,14786
50060,3a,,50047,14786
50061,4a,,50047,14786
50062,5a,,50047,14786
50063,6a,,50047,14786
50064,7a,,50047,14786
50065,8a,,50047,14786
50066,Responding,Understanding and evaluating how the arts convey meaning,,14786
50067,Anchor Standard 7,,50066,14786
50068,1a,,50067,14786
50069,2a,,50067,14786
50070,3a,,50067,14786
50071,4a,,50067,14786
50072,5a,,50067,14786
50073,6a,,50067,14786
50074,7a,,50067,14786
50075,8a,,50067,14786
50076,Anchor Standard 1,,50033,14786
50077,1a,,50076,14786
50078,2a,,50076,14786
50079,3a,,50076,14786
50080,4a,,50076,14786
50081,5a,,50076,14786
50082,6a,,50076,14786
50083,7a,,50076,14786
50084,8a,,50076,14786
50085,PKa,,50067,14786
50086,Ka,,50067,14786
50087,3c,,50047,14786
50088,4c,,50047,14786
50089,5cExplain,,50047,14786
50090,6c,,50047,14786
50091,7c,,50047,14786
50092,8c,,50047,14786
50093,Anchor Standard 9,,50066,14786
50094,PKa,,50093,14786
50095,Ka,,50093,14786
50096,Anchor Standard 6,,50046,14786
50097,1a,,50096,14786
50098,2a,,50096,14786
50099,3b,,50096,14786
50100,4b,,50096,14786
50101,5b,,50096,14786
50102,6b,,50096,14786
50103,7b,,50096,14786
50104,8b,,50096,14786
50105,6b,,50067,14786
50106,7b,,50067,14786
50107,8b,,50067,14786
50108,1a,,50093,14786
50109,2a,,50093,14786
50110,3a,,50093,14786
50111,4a,,50093,14786
50112,5a,,50093,14786
50113,6a,,50093,14786
50114,7a,,50093,14786
50115,8a,,50093,14786
50116,H,,50076,14786
50117,H,,50037,14786
50118,H,,50034,14786
50119,H,,50047,14786
50120,Anchor Standard 5,,50046,14786
50121,H,,50120,14786
50122,H,,50096,14786
50123,H,,50067,14786
50124,Anchor Standard 8,,50066,14786
50125,H,,50124,14786
50126,H,,50093,14786
50127,Connecting,,,14786
50128,Anchor Standard 10,,50127,14786
50129,H,,50128,14786
50130,Anchor Standard 11,,50127,14786
50131,H,,50130,14786
50132,Performing/Presenting/Producing,,,14786
50133,Anchor Standard 6,,50132,14786
50134,HS Advanced,,50133,14786
50135,Connecting,,,14786
50136,Anchor Standard 10,,50135,14786
50137,HS Advanced,,50136,14786
50138,Anchor Standard 11,,50135,14786
50139,HS Advanced,,50138,14786
50140,Creating,Conceiving and developing new artistic ideas and work,,14786
50141,Anchor Standard 1,,50140,14786
50142,Pre-K,,50141,14786
50143,Anchor Standard 3,,50140,14786
50144,Pre-K,,50143,14786
50145,Anchor Standard 4,,50132,14786
50146,Pre-K,,50145,14786
50147,Anchor Standard 5,,50132,14786
50148,Pre-K,,50147,14786
50149,Pre-K,,50133,14786
50150,Responding,Understanding and evaluating how the arts convey meaning,,14786
50151,Anchor Standard 7,,50150,14786
50152,Pre-K,,50151,14786
50153,Anchor Standard 9,,50150,14786
50154,Pre-K,,50153,14786
50155,Pre-K,,50136,14786
50156,T,,50076,14786
50157,T,,50037,14786
50158,T,,50034,14786
50159,T,,50047,14786
50160,T,,50120,14786
50161,T,,50096,14786
50162,T,,50067,14786
50163,T,,50124,14786
50164,T,,50093,14786
50165,T,,50128,14786
50166,T,,50130,14786
50167,Creating,Conceiving and developing new artistic ideas and work,,14786
50168,Anchor Standard 1,,50167,14786
50169,IIIa,,50168,14786
50170,Anchor Standard 2,,50167,14786
50171,IIIa,,50170,14786
50172,Anchor Standard 3,,50167,14786
50173,IIIa,,50172,14786
50174,Performing/Presenting/Producing,,,14786
50175,Anchor Standard 4,,50174,14786
50176,IIIa,,50175,14786
50177,Anchor Standard 5,,50174,14786
50178,IIIa,,50177,14786
50179,Anchor Standard 6,,50174,14786
50180,IIIa,,50179,14786
50181,Responding,Understanding and evaluating how the arts convey meaning,,14786
