uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,field_eu_references,field_eq_references,status
ncas-theatre-th-pr6.1.iii.,TH:Pr6.1.III.,basic_html,"<p>Share, Present a. With prompting and support, engage in dramatic play or a guided drama experience (e.g., process drama, story drama, creative drama).</p>",14786,50134,16469,Performing/Presenting/Producing,Anchor Standard 6,HS Advanced,TH:Pr6.1.III.,EU_69f57a15,EQ_865352cd,TRUE
ncas-theatre-th-cn10.1.iii.,TH:Cn10.1.III.,basic_html,"<p>Empathize a. With prompting and support, identify similarities between a story and personal experience in dramatic play or a guided drama experience (e.g., process drama, story drama, creative drama).</p>",14786,50137,16469,Connecting,Anchor Standard 10,HS Advanced,TH:Cn10.1.III.,EU_fc292fe0,EQ_5d00c207,TRUE
ncas-theatre-th-cn11.1.iii.,TH:Cn11.1.III.,basic_html,"<p>Interrelate a. With prompting and support, use skills and knowledge from other areas in dramatic play or a guided drama experience (e.g., process drama, story drama, creative      drama).</p>",14786,50139,16469,Connecting,Anchor Standard 11,HS Advanced,TH:Cn11.1.III.,EU_fc292fe0,EQ_5d00c207,TRUE
ncas-theatre-th-cr1.1.pk.,TH:Cr1.1.PK.,basic_html,<p>TH:Cr1.1.K. TH:Cr1.1.1. TH:Cr1.1.2. TH:Cr1.1.3. TH:Cr1.1.4. TH:Cr.1.1.5. TH:Cr1.1.6 TH:Cr.1.1.7. TH:Cr1.1.8. TH:Cr1.1.I. TH:Cr1.1.II. TH:Cr1.1.III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50142,16469,Creating,Anchor Standard 1,Pre-K,TH:Cr1.1.PK.,EU_4afb8cc3,EQ_d81c06a1,TRUE
ncas-theatre-th-cr3.1.pk.,TH:Cr3.1.PK.,basic_html,<p>TH:Cr3.1.K. TH:Cr3.1.1. TH:Cr3.1.2. TH:Cr3.1.3. TH:Cr3.1.4. TH:Cr3.1.5. TH:Cr3.1.6. TH:Cr3.1.7. TH:Cr3.1.8. TH:Cr3.1.I. TH:Cr3.1.II. TH:Cr3.1.III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50144,16469,Creating,Anchor Standard 3,Pre-K,TH:Cr3.1.PK.,EU_370acb16,EQ_d81c06a1,TRUE
ncas-theatre-th-pr4.1.pk.,TH:Pr4.1.PK.,basic_html,<p>TH:Pr4.1.K. TH:Pr4.1.1. TH:Pr4.1.2. TH:Pr4.1.3. TH:Pr4.1.4. TH:Pr4.1.5. TH:Pr4.1.6. TH:Pr4.1.7. TH:Pr4.1.8. TH:Pr4.1.I. TH:Pr4.1.II. TH:Pr4.1.III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50146,16469,Performing/Presenting/Producing,Anchor Standard 4,Pre-K,TH:Pr4.1.PK.,EU_69f57a15,EQ_c1cd84f2,TRUE
ncas-theatre-th-pr5.1.pk.,TH:Pr5.1.PK.,basic_html,<p>TH:Pr5.1.K. TH:Pr5.1.1. TH:Pr5.1.2. TH:Pr5.1.3. TH:Pr5.1.4. TH:Pr5.1.5. TH:Pr5.1.6. TH:Pr5.1.7. TH:Pr5.1.8. TH:Pr5.1.I. TH:Pr5.1.II. TH:Pr5.1.III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50148,16469,Performing/Presenting/Producing,Anchor Standard 5,Pre-K,TH:Pr5.1.PK.,EU_39519601,EQ_c1cd84f2,TRUE
ncas-theatre-th-pr6.1.pk.,TH:Pr6.1.PK.,basic_html,<p>TH:Pr6.1.K. TH:Pr6.1.1. TH:Pr6.1.2. TH:Pr6.1.3. TH:Pr6.1.4. TH:Pr6.1.5. TH:Pr6.1.6. TH:Pr6.1.7. TH:Pr6.1.8. TH:Pr6.1.I. TH:Pr6.1.II. TH:Pr6.1.III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50149,16469,Performing/Presenting/Producing,Anchor Standard 6,Pre-K,TH:Pr6.1.PK.,EU_5c803b34,EQ_c1cd84f2,TRUE
ncas-theatre-th-re7.1.pk.,TH:Re7.1.PK.,basic_html,<p>TH:Re7.1.K. TH:Re7.1.1. TH:Re7.1.2. TH:Re7.1.3. TH:Re7.1.4. TH:Re7.1.5. TH:Re7.1.6. TH:Re7.1.7. TH:Re7.1.8. TH: Re7.1.I. TH: Re7.1.II. TH: Re7.1.-III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50152,16469,Responding,Anchor Standard 7,Pre-K,TH:Re7.1.PK.,EU_9a492b53,EQ_49c9d21e,TRUE
ncas-theatre-th-re9.1.pk.,TH:Re9.1.PK.,basic_html,<p>TH:Re9.1.K. TH:Re9.1.1. TH:Re9.1.2. TH:Re9.1.3. TH:Re9.1.4. TH:Re9.1.5. TH:Re9.1.6. TH:Re9.1.7. TH:Re9.1.8. TH:Re9.1.I. TH:Re9.1.II. TH:Re9.1.III. |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50154,16469,Responding,Anchor Standard 9,Pre-K,TH:Re9.1.PK.,EU_fc292fe0,EQ_49c9d21e,TRUE
