ID,name,description,parent_tid,field_associated_framework
50169,IIIa,,50168,14786
50171,IIIa,,50170,14786
50173,IIIa,,50172,14786
50176,IIIa,,50175,14786
50178,IIIa,,50177,14786
50180,IIIa,,50179,14786
50183,IIIa,,50182,14786
50185,IIIa,,50184,14786
50188,IIIa,,50187,14786
50190,IIIa,,50189,14786
50191,PKa,,50168,14786
50192,PKa,,50170,14786
50193,PKa,,50172,14786
50194,PKa,,50175,14786
50195,PKa,,50177,14786
50196,PKa,,50179,14786
50197,Pka,,50182,14786
50198,Pka,,50184,14786
50199,Pka,,50187,14786
