uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,field_eu_references,field_eq_references,status
ncas-visual arts-va-cr1.1.iiia,VA:Cr1.1.IIIa,basic_html,<p>Engage in self directed play with materials.</p>,14786,50169,16469,Creating,Anchor Standard 1,IIIa,VA:Cr1.1.IIIa,,,TRUE
ncas-visual arts-va-cr1.2.iiia,VA:Cr1.2.IIIa,basic_html,"<p>Engage in self directed, creative making.</p>",14786,50169,16469,Creating,Anchor Standard 1,IIIa,VA:Cr1.2.IIIa,,,TRUE
ncas-visual arts-va-cr1.1.iiia,VA:Cr1.1.IIIa,basic_html,<p>Engage in self directed play with materials.</p>,14786,50169,16469,Creating,Anchor Standard 1,IIIa,VA:Cr1.1.IIIa,,,TRUE
ncas-visual arts-va-cr1.2.iiia,VA:Cr1.2.IIIa,basic_html,"<p>Engage in self directed, creative making.</p>",14786,50169,16469,Creating,Anchor Standard 1,IIIa,VA:Cr1.2.IIIa,,,TRUE
ncas-visual arts-va-cr2.1.iiia,VA:Cr2.1.IIIa,basic_html,<p>Use a variety of art making tools</p>,14786,50171,16469,Creating,Anchor Standard 2,IIIa,VA:Cr2.1.IIIa,EU_bd21a678,EQ_a13159f5,TRUE
ncas-visual arts-va-cr2.2.iiia,VA:Cr2.2.IIIa,basic_html,<p>a. Share materials with others.</p>,14786,50171,16469,Creating,Anchor Standard 2,IIIa,VA:Cr2.2.IIIa,EU_bd21a678,EQ_a13159f5,TRUE
ncas-visual arts-va-cr2.3.iiia,VA:Cr2.3.IIIa,basic_html,<p>Create and tell about art that communicates a story about a familiar place or object.</p>,14786,50171,16469,Creating,Anchor Standard 2,IIIa,VA:Cr2.3.IIIa,EU_bd21a678,EQ_a13159f5,TRUE
ncas-visual arts-va-cr2.1.iiia,VA:Cr2.1.IIIa,basic_html,<p>Use a variety of art making tools</p>,14786,50171,16469,Creating,Anchor Standard 2,IIIa,VA:Cr2.1.IIIa,EU_bd21a678,EQ_a13159f5,TRUE
ncas-visual arts-va-cr2.2.iiia,VA:Cr2.2.IIIa,basic_html,<p>a. Share materials with others.</p>,14786,50171,16469,Creating,Anchor Standard 2,IIIa,VA:Cr2.2.IIIa,EU_bd21a678,EQ_a13159f5,TRUE
ncas-visual arts-va-cr2.3.iiia,VA:Cr2.3.IIIa,basic_html,<p>Create and tell about art that communicates a story about a familiar place or object.</p>,14786,50171,16469,Creating,Anchor Standard 2,IIIa,VA:Cr2.3.IIIa,EU_bd21a678,EQ_a13159f5,TRUE
ncas-visual arts-va-cr3.1.iiia,VA:Cr3.1.IIIa,basic_html,<p>Reflect - Refine - Continue</p>,14786,50173,16469,Creating,Anchor Standard 3,IIIa,VA:Cr3.1.IIIa,EU_0f543a48,EQ_139bfefc,TRUE
ncas-visual arts-va-cr3.1.iiia,VA:Cr3.1.IIIa,basic_html,<p>Reflect - Refine - Continue</p>,14786,50173,16469,Creating,Anchor Standard 3,IIIa,VA:Cr3.1.IIIa,EU_0f543a48,EQ_139bfefc,TRUE
ncas-visual arts-va-pr4.1.iiia,VA:Pr4.1.IIIa,basic_html,<p>Select</p>,14786,50176,16469,Performing/Presenting/Producing,Anchor Standard 4,IIIa,VA:Pr4.1.IIIa,EU_d8888d36,EQ_47e7c4e5,TRUE
ncas-visual arts-va-pr4.1.iiia,VA:Pr4.1.IIIa,basic_html,<p>Select</p>,14786,50176,16469,Performing/Presenting/Producing,Anchor Standard 4,IIIa,VA:Pr4.1.IIIa,EU_d8888d36,EQ_47e7c4e5,TRUE
ncas-visual arts-va-pr5.1.iiia,VA:Pr5.1.IIIa,basic_html,<p>Analyze</p>,14786,50178,16469,Performing/Presenting/Producing,Anchor Standard 5,IIIa,VA:Pr5.1.IIIa,EU_d8888d36,EQ_47e7c4e5,TRUE
